word,pinyin,context
车库,chē kù,车停在**车库**里。 → Машина стоит в гараже.
车厢,chē xiāng,**车厢**里很挤。 → В вагоне очень тесно.
彻底,chè dǐ,问题**彻底**解决了。 → Проблема полностью решена.
沉默,chén mò,他**沉默**了很久。 → Он долго молчал.
趁,chèn,**趁**热吃吧。 → Ешь пока горячее.
称,chēng,大家**称**他为老师。 → Все называют его учителем.
称呼,chēng hu,该怎么**称呼**您？ → Как к вам обращаться?
称赞,chēng zàn,老师**称赞**了他。 → Учитель похвалил его.
成分,chéng fèn,这种药的**成分**很特别。 → Состав этого лекарства особенный.
成果,chéng guǒ,研究取得了**成果**。 → Исследование дало результаты.
成就,chéng jiù,他取得了巨大**成就**。 → Он добился огромных достижений.
成立,chéng lì,公司去年**成立**。 → Компания была основана в прошлом году.
成熟,chéng shú,苹果**成熟**了。 → Яблоки созрели.
成语,chéng yǔ,这个**成语**很常用。 → Эта идиома часто используется.
成长,chéng zhǎng,孩子在**成长**。 → Ребёнок растёт.
诚恳,chéng kěn,他的态度很**诚恳**。 → Его отношение очень искреннее.
承担,chéng dān,他**承担**了责任。 → Он взял на себя ответственность.
承认,chéng rèn,他**承认**了错误。 → Он признал ошибку.
承受,chéng shòu,我**承受**不了压力。 → Я не выдерживаю давления.
程度,chéng dù,他汉语水平到了高级**程度**。 → Его уровень китайского достиг продвинутой степени.
程序,chéng xù,按照**程序**操作。 → Выполняйте по процедуре.
吃亏,chī kuī,这次他**吃亏**了。 → На этот раз он остался в проигрыше.
池塘,chí táng,**池塘**里有鱼。 → В пруду есть рыба.
迟早,chí zǎo,他**迟早**会知道。 → Он рано или поздно узнает.
持续,chí xù,雨**持续**下了三天。 → Дождь идёт уже три дня подряд.
尺子,chǐ zi,请把**尺子**给我。 → Пожалуйста дайте мне линейку.
翅膀,chì bǎng,鸟有两只**翅膀**。 → У птицы два крыла.
冲,chōng,水**冲**走了泥土。 → Вода смыла землю.
充电器,chōng diàn qì,我忘了带**充电器**。 → Я забыл взять зарядное устройство.
充分,chōng fèn,他做了**充分**准备。 → Он хорошо подготовился.
充满,chōng mǎn,他**充满**了希望。 → Он полон надежд.
重复,chóng fù,请别**重复**了。 → Пожалуйста не повторяйте.
宠物,chǒng wù,我养了一只**宠物**。 → У меня есть питомец.
抽屉,chōu ti,**抽屉**里有钱。 → В ящике есть деньги.
抽象,chōu xiàng,这个概念很**抽象**。 → Это понятие очень абстрактное.
丑,chǒu,他长得有点**丑**。 → Он немного некрасив.
臭,chòu,这个垃圾很**臭**。 → Этот мусор очень вонючий.
出版,chū bǎn,这本书已经**出版**了。 → Эта книга уже издана.
出口,chū kǒu,**出口**在哪里？ → Где выход?
出色,chū sè,他表现**出色**。 → Он показал себя великолепно.
出席,chū xí,他没**出席**会议。 → Он не присутствовал на собрании.
初级,chū jí,这是**初级**课程。 → Это начальный курс.
除非,chú fēi,"**除非**下雨，否则我们去。 → Если только не пойдёт дождь, мы пойдём."
除夕,chú xī,**除夕**是中国的传统节日。 → Канун Нового года традиционный китайский праздник.
处理,chǔ lǐ,我来**处理**这件事。 → Я займусь этим делом.
传播,chuán bō,病毒**传播**很快。 → Вирус распространяется быстро.
传染,chuán rǎn,这种病会**传染**。 → Эта болезнь заразна.
传说,chuán shuō,这是个古老的**传说**。 → Это древняя легенда.
传统,chuán tǒng,这是中国的**传统**。 → Это китайская традиция.
窗帘,chuāng lián,请把**窗帘**拉上。 → Пожалуйста задёрните шторы.
闯,chuǎng,他**闯**进了房间。 → Он ворвался в комнату.
创造,chuàng zào,我们要**创造**新生活。 → Мы должны создать новую жизнь.
吹,chuī,风**吹**得很大。 → Ветер дует сильно.
词汇,cí huì,我要扩大**词汇**量。 → Я хочу увеличить словарный запас.
辞职,cí zhí,他**辞职**了。 → Он уволился.
此外,cǐ wài,**此外**还有别的问题。 → Кроме того есть и другие проблемы.
次要,cì yào,这是**次要**问题。 → Это второстепенная проблема.
刺激,cì jī,这部电影很**刺激**。 → Этот фильм очень захватывающий.
匆忙,cōng máng,他**匆忙**地走了。 → Он поспешно ушёл.
从此,cóng cǐ,**从此**他变了。 → С тех пор он изменился.
从而,cóng ér,他努力学习**从而**取得了好成绩。 → Он упорно учился и таким образом получил хорошие оценки.
从前,cóng qián,**从前**这里是森林。 → Раньше здесь был лес.
从事,cóng shì,他**从事**教育工作。 → Он занимается образованием.
粗糙,cū cāo,这块布很**粗糙**。 → Эта ткань очень грубая.
促进,cù jìn,贸易**促进**了发展。 → Торговля способствовала развитию.
促使,cù shǐ,这件事**促使**他改变。 → Это событие заставило его измениться.
醋,cù,请给我一点**醋**。 → Пожалуйста дайте мне немного уксуса.
催,cuī,妈妈在**催**我吃饭。 → Мама торопит меня кушать.
存在,cún zài,这个问题确实**存在**。 → Эта проблема действительно существует.
措施,cuò shī,采取有效**措施**。 → Принять эффективные меры.
错误,cuò wù,这是一个**错误**。 → Это ошибка.
答应,dā ying,他**答应**了我。 → Он согласился.
达到,dá dào,我**达到**了目标。 → Я достиг цели.
打工,dǎ gōng,大学生暑假**打工**。 → Студенты подрабатывают летом.
打交道,dǎ jiāo dào,我经常和外国人**打交道**。 → Я часто общаюсь с иностранцами.
打喷嚏,dǎ pēn tì,他**打喷嚏**了。 → Он чихнул.
打听,dǎ tīng,我想**打听**一件事。 → Я хочу разузнать одну вещь.
大方,dà fang,她很**大方**。 → Она щедрая.
大厦,dà shà,这座**大厦**很高。 → Это здание очень высокое.
大象,dà xiàng,**大象**很聪明。 → Слон очень умный.
大型,dà xíng,这是**大型**活动。 → Это масштабное мероприятие.
呆,dāi,他**呆**在家里。 → Он остался дома.
代表,dài biǎo,他是我们的**代表**。 → Он наш представитель.
代替,dài tì,我来**代替**他。 → Я заменю его.
贷款,dài kuǎn,他申请了**贷款**。 → Он подал заявку на кредит.
待遇,dài yù,这家公司**待遇**好。 → В этой компании хорошие условия.
担任,dān rèn,他**担任**经理。 → Он работает менеджером.
单纯,dān chún,她很**单纯**。 → Она очень простодушная.
单调,dān diào,工作很**单调**。 → Работа очень монотонная.
单独,dān dú,他喜欢**单独**行动。 → Он любит действовать в одиночку.
单元,dān yuán,这是第三**单元**。 → Это третий раздел.
耽误,dān wu,别**耽误**时间。 → Не теряйте время.
胆小鬼,dǎn xiǎo guǐ,他是个**胆小鬼**。 → Он трус.
淡,dàn,这汤太**淡**了。 → Этот суп слишком пресный.
当地,dāng dì,我们去**当地**餐厅吃饭。 → Мы идём в местный ресторан.
当心,dāng xīn,过马路要**当心**。 → Будьте осторожны при переходе улицы.
挡,dǎng,他**挡**住了我的路。 → Он преградил мне путь.
倒霉,dǎo méi,今天真**倒霉**。 → Сегодня я невезучий.
导演,dǎo yǎn,他是著名**导演**。 → Он известный режиссёр.
导致,dǎo zhì,事故**导致**了交通堵塞。 → Авария привела к пробке.
岛屿,dǎo yǔ,这个**岛屿**很美。 → Этот остров очень красивый.
到达,dào dá,我们**到达**了目的地。 → Мы прибыли в пункт назначения.
道德,dào dé,这是**道德**问题。 → Это нравственный вопрос.
道理,dào lǐ,你说的有**道理**。 → То что ты говоришь имеет смысл.
登记,dēng jì,请在这里**登记**。 → Пожалуйста зарегистрируйтесь здесь.
等待,děng dài,我**等待**了很久。 → Я ждал очень долго.
等于,děng yú,二加二**等于**四。 → Два плюс два равно четырём.
滴,dī,水一**滴**一**滴**地落下。 → Вода капает капля за каплей.
的确,dí què,这**的确**是个好主意。 → Это действительно хорошая идея.
敌人,dí rén,我们没有**敌人**。 → У нас нет врагов.
地道,dì dao,他的汉语很**地道**。 → Его китайский очень аутентичный.
地理,dì lǐ,我喜欢学**地理**。 → Я люблю изучать географию.
地区,dì qū,这个**地区**很发达。 → Этот регион очень развит.
地毯,dì tǎn,房间里铺了**地毯**。 → В комнате расстелен ковёр.
地位,dì wèi,他**地位**很高。 → У него высокое положение.
地震,dì zhèn,昨天发生了**地震**。 → Вчера произошло землетрясение.
递,dì,请把书**递**给我。 → Пожалуйста передайте мне книгу.
点心,diǎn xin,这个**点心**很好吃。 → Это пирожное очень вкусное.
电池,diàn chí,**电池**没电了。 → Батарейка села.
电台,diàn tái,我喜欢听**电台**。 → Я люблю слушать радио.
钓,diào,他在河边**钓**鱼。 → Он ловит рыбу у реки.
顶,dǐng,山**顶**上有雪。 → На вершине горы есть снег.
冻,dòng,水**冻**成了冰。 → Вода замёрзла превратившись в лёд.
动画片,dòng huà piàn,孩子爱看**动画片**。 → Дети любят смотреть мультфильмы.
洞,dòng,树上有个**洞**。 → На дереве есть дупло.
豆腐,dòu fu,我喜欢吃**豆腐**。 → Я люблю есть тофу.
逗,dòu,他喜欢**逗**孩子。 → Он любит играть с детьми.
独立,dú lì,我已经经济**独立**了。 → Я уже финансово независим.
独特,dú tè,这件衣服很**独特**。 → Эта одежда очень оригинальная.
度过,dù guò,我**度过**了快乐的一天。 → Я провёл счастливый день.
断,duàn,绳子**断**了。 → Верёвка оборвалась.
堆,duī,桌上有一**堆**书。 → На столе стопка книг.
对比,duì bǐ,**对比**一下两个方案。 → Сравните два варианта.
对待,duì dài,我们应该认真**对待**问题。 → Мы должны серьёзно относиться к проблемам.
对方,duì fāng,**对方**态度很好。 → Другая сторона имеет хорошее отношение.
对手,duì shǒu,他是我的**对手**。 → Он мой соперник.
对象,duì xiàng,她在找**对象**。 → Она ищет вторую половинку.
兑换,duì huàn,我想**兑换**一些美元。 → Я хочу обменять немного долларов.
吨,dūn,这块石头有一**吨**重。 → Этот камень весит одну тонну.
蹲,dūn,他**蹲**在地上。 → Он присел на землю.
顿,dùn,我吃了一**顿**好饭。 → Я поел один сытный обед.
多亏,duō kuī,**多亏**了你的帮助。 → Спасибо за твою помощь.
多余,duō yú,这是**多余**的担心。 → Это излишнее беспокойство.
朵,duǒ,他买了一**朵**玫瑰。 → Он купил одну розу.
躲藏,duǒ cáng,他**躲藏**在树后。 → Он прячется за деревом.
恶劣,è liè,天气非常**恶劣**。 → Погода очень плохая.
耳环,ěr huán,她戴着漂亮的**耳环**。 → На ней красивые серьги.
发表,fā biǎo,他**发表**了文章。 → Он опубликовал статью.
发愁,fā chóu,别为这事**发愁**。 → Не беспокойтесь об этом.
发达,fā dá,这个国家很**发达**。 → Эта страна очень развита.
发抖,fā dǒu,他冷得**发抖**。 → Он дрожит от холода.
发挥,fā huī,**发挥**你的特长。 → Используйте свои сильные стороны.
发明,fā míng,这是新**发明**。 → Это новое изобретение.
发票,fā piào,请给我**发票**。 → Пожалуйста дайте мне чек.
发言,fā yán,他在会上**发言**。 → Он выступает на собрании.
罚款,fá kuǎn,他被**罚款**了。 → Его оштрафовали.
法院,fǎ yuàn,案子在**法院**审理。 → Дело рассматривается в суде.
翻,fān,他**翻**开了书。 → Он раскрыл книгу.
繁荣,fán róng,经济很**繁荣**。 → Экономика процветает.
凡是,fán shì,**凡是**学生都要参加。 → Все студенты должны участвовать.
反而,fǎn ér,他**反而**笑了。 → Он наоборот рассмеялся.
反复,fǎn fù,请**反复**练习。 → Пожалуйста повторяйте многократно.
反应,fǎn yìng,他没有**反应**。 → У него нет реакции.
反映,fǎn yìng,他向我**反映**了情况。 → Он сообщил мне о ситуации.
反正,fǎn zhèng,**反正**我要去。 → В любом случае я пойду.
范围,fàn wéi,讨论**范围**很广。 → Диапазон обсуждения широк.
方,fāng,这是个**方**形。 → Это квадратная форма.
方案,fāng àn,这是最好的**方案**。 → Это лучший план.
方式,fāng shì,这种**方式**很有效。 → Этот способ очень эффективен.
妨碍,fáng ài,别**妨碍**他工作。 → Не мешайте ему работать.
仿佛,fǎng fú,**仿佛**做梦一样。 → Словно во сне.
非,fēi,**非**亲非故。 → Ни родственник ни друг.
肥皂,féi zào,请用**肥皂**洗手。 → Пожалуйста мойте руки с мылом.
废话,fèi huà,别说**废话**了。 → Не говорите ерунду.
分别,fēn bié,我们**分别**已久。 → Мы давно расстались.
分布,fēn bù,这种植物**分布**很广。 → Это растение широко распространено.
分配,fēn pèi,工作已经**分配**好了。 → Работа уже распределена.
分手,fēn shǒu,他们**分手**了。 → Они расстались.
分析,fēn xī,请**分析**一下原因。 → Пожалуйста проанализируйте причины.
纷纷,fēn fēn,大家**纷纷**离开。 → Все один за другим уходят.
奋斗,fèn dòu,我们要努力**奋斗**。 → Мы должны упорно бороться.
风格,fēng gé,他的**风格**独特。 → Его стиль уникален.
风景,fēng jǐng,这里**风景**很美。 → Здесь красивый пейзаж.
风俗,fēng sú,这是当地的**风俗**。 → Это местный обычай.
风险,fēng xiǎn,投资有**风险**。 → Инвестиции связаны с риском.
疯狂,fēng kuáng,他变得很**疯狂**。 → Он стал безумным.
讽刺,fěng cì,他喜欢**讽刺**人。 → Он любит высмеивать людей.
否定,fǒu dìng,他**否定**了我的提议。 → Он отверг моё предложение.
否认,fǒu rèn,他**否认**了一切。 → Он отрицал всё.
扶,fú,请**扶**着老人。 → Пожалуйста поддержите старика.
服装,fú zhuāng,这家店卖**服装**。 → Этот магазин продаёт одежду.
辅导,fǔ dǎo,他给我**辅导**数学。 → Он занимается со мной математикой.
妇女,fù nǚ,这是**妇女**节。 → Это Женский день.
复制,fù zhì,请**复制**这份文件。 → Пожалуйста скопируйте этот документ.
改革,gǎi gé,公司要进行**改革**。 → Компания должна провести реформы.
改进,gǎi jìn,我们要**改进**工作方法。 → Мы должны улучшить методы работы.
改善,gǎi shàn,生活条件**改善**了。 → Условия жизни улучшились.
改正,gǎi zhèng,请**改正**错误。 → Пожалуйста исправьте ошибки.
盖,gài,他用毯子**盖**着身体。 → Он накрылся одеялом.
概括,gài kuò,请**概括**一下内容。 → Пожалуйста обобщите содержание.
概念,gài niàn,这个**概念**很重要。 → Это понятие очень важно.
干脆,gān cuì,他**干脆**地拒绝了。 → Он решительно отказал.
干燥,gān zào,空气很**干燥**。 → Воздух очень сухой.
赶紧,gǎn jǐn,我们**赶紧**走吧。 → Давайте поскорее уйдём.
赶快,gǎn kuài,**赶快**回家吧。 → Скорее возвращайтесь домой.
感激,gǎn jī,我非常**感激**你。 → Я очень благодарен тебе.
感受,gǎn shòu,我谈谈**感受**。 → Я поделюсь впечатлениями.
感想,gǎn xiǎng,谈谈你的**感想**。 → Расскажите о своих впечатлениях.
干活儿,gàn huór,他在**干活儿**。 → Он работает.
钢铁,gāng tiě,这是**钢铁**结构。 → Это стальная конструкция.
高档,gāo dàng,这是**高档**商品。 → Это товар высокого класса.
高级,gāo jí,这是**高级**课程。 → Это продвинутый курс.
搞,gǎo,你在**搞**什么？ → Что ты делаешь?
告别,gào bié,我们**告别**了朋友。 → Мы попрощались с друзьями.
格外,gé wài,今天他**格外**高兴。 → Сегодня он особенно счастлив.
隔壁,gé bì,**隔壁**住着一家人。 → По соседству живёт семья.
个别,gè bié,这是**个别**现象。 → Это отдельный случай.
个人,gè rén,这是我**个人**的看法。 → Это моё личное мнение.
个性,gè xìng,他**个性**很强。 → У него сильная личность.
各自,gè zì,大家**各自**回家。 → Все разошлись по домам.
根本,gēn běn,我**根本**不知道。 → Я вообще не знаю.
工厂,gōng chǎng,他在**工厂**工作。 → Он работает на заводе.
工程师,gōng chéng shī,他是**工程师**。 → Он инженер.
工具,gōng jù,这是修理**工具**。 → Это инструмент для ремонта.
工人,gōng rén,**工人**们在劳动。 → Рабочие трудятся.
公布,gōng bù,成绩已经**公布**了。 → Оценки уже опубликованы.
公平,gōng píng,这不**公平**。 → Это несправедливо.
公主,gōng zhǔ,**公主**很美丽。 → Принцесса очень красива.
功能,gōng néng,这个手机**功能**多。 → У этого телефона много функций.
恭喜,gōng xǐ,**恭喜**你成功！ → Поздравляю с успехом!
贡献,gòng xiàn,他做出了**贡献**。 → Он внёс вклад.
沟通,gōu tōng,我们需要**沟通**。 → Нам нужно общение.
构成,gòu chéng,这**构成**了犯罪。 → Это образует преступление.
姑姑,gū gu,这是我**姑姑**。 → Это моя тётя.
姑娘,gū niang,那个**姑娘**很漂亮。 → Та девушка очень красивая.
古代,gǔ dài,**古代**中国有四大发明。 → В древнем Китае было четыре великих изобретения.
古典,gǔ diǎn,我喜欢**古典**音乐。 → Я люблю классическую музыку.
股票,gǔ piào,他买了**股票**。 → Он купил акции.
骨头,gǔ tou,狗在啃**骨头**。 → Собака грызёт кость.
鼓舞,gǔ wǔ,这话**鼓舞**了我。 → Эти слова вдохновили меня.
鼓掌,gǔ zhǎng,大家热烈**鼓掌**。 → Все горячо аплодируют.
固定,gù dìng,我的工作时间**固定**。 → Моё рабочее время фиксированное.
雇佣,gù yōng,公司**雇佣**了他。 → Компания наняла его.
挂号,guà hào,我要去**挂号**。 → Я иду регистрироваться.
观察,guān chá,他在**观察**情况。 → Он наблюдает за ситуацией.
观点,guān diǎn,我同意你的**观点**。 → Я согласен с твоей точкой зрения.
观念,guān niàn,他的**观念**很传统。 → Его взгляды очень традиционные.
官,guān,他是个**官**。 → Он чиновник.
管子,guǎn zi,**管子**坏了。 → Труба сломалась.
冠军,guàn jūn,他得了**冠军**。 → Он стал чемпионом.
光滑,guāng huá,这块石头很**光滑**。 → Этот камень очень гладкий.
光临,guāng lín,欢迎**光临**！ → Добро пожаловать!
光明,guāng míng,前途一片**光明**。 → Будущее светлое.
光盘,guāng pán,我买了一张**光盘**。 → Я купил диск.
广场,guǎng chǎng,人们在**广场**上跳舞。 → Люди танцуют на площади.
广大,guǎng dà,**广大**人民支持改革。 → Широкие массы поддерживают реформу.
广告,guǎng gào,这个**广告**很有意思。 → Эта реклама интересная.
归纳,guī nà,请**归纳**要点。 → Пожалуйста обобщите основные моменты.
规矩,guī ju,他守**规矩**。 → Он соблюдает правила.
规律,guī lǜ,自然有自己的**规律**。 → У природы есть свои законы.
规模,guī mó,公司**规模**很大。 → Масштаб компании большой.
规则,guī zé,要遵守**规则**。 → Нужно соблюдать правила.
柜台,guì tái,请到**柜台**结账。 → Пожалуйста пройдите к стойке для оплаты.
滚,gǔn,球**滚**到了门口。 → Мяч укатился к двери.
锅,guō,**锅**里有米饭。 → В кастрюле рис.
国庆节,guó qìng jié,十月一日是**国庆节**。 → Первое октября это День образования КНР.
国王,guó wáng,**国王**很威严。 → Король величественен.
果然,guǒ rán,事情**果然**如此。 → Так оно и оказалось.
果实,guǒ shí,秋天**果实**累累。 → Осенью много плодов.
过分,guò fèn,你太**过分**了。 → Ты слишком переходишь границы.
过敏,guò mǐn,我对花粉**过敏**。 → У меня аллергия на пыльцу.
过期,guò qī,牛奶**过期**了。 → Молоко просрочилось.
哈,hā,**哈**！我猜对了。 → Ха! Я угадал.
海关,hǎi guān,我们要经过**海关**。 → Нам нужно пройти таможню.
海鲜,hǎi xiān,这家店的**海鲜**新鲜。 → В этом ресторане свежие морепродукты.
喊,hǎn,有人在**喊**我。 → Кто-то меня зовёт.
行业,háng yè,他在IT**行业**工作。 → Он работает в ИТ-индустрии.
豪华,háo huá,这是**豪华**酒店。 → Это роскошный отель.
好客,hào kè,他们很**好客**。 → Они очень гостеприимные.
好奇,hào qí,孩子都很**好奇**。 → Дети очень любопытны.
合法,hé fǎ,这是**合法**行为。 → Это законное действие.
合理,hé lǐ,这个价格**合理**。 → Эта цена разумная.
合同,hé tong,请签**合同**。 → Пожалуйста подпишите контракт.
合影,hé yǐng,我们**合影**留念。 → Мы сфотографировались на память.
合作,hé zuò,我们要**合作**。 → Мы должны сотрудничать.
何必,hé bì,你**何必**生气呢？ → Зачем же сердиться?
何况,hé kuàng,我都不会**何况**他呢。 → Даже я не умею не говоря о нём.
和平,hé píng,我们要**和平**。 → Мы хотим мира.
核心,hé xīn,这是问题的**核心**。 → Это суть проблемы.
恨,hèn,我**恨**他骗了我。 → Я ненавижу его за обман.
横,héng,这条线是**横**的。 → Эта линия горизонтальная.
后果,hòu guǒ,**后果**很严重。 → Последствия серьёзные.
呼吸,hū xī,深**呼吸**。 → Глубокий вдох.
忽然,hū rán,**忽然**下起了雨。 → Внезапно пошёл дождь.
忽视,hū shì,别**忽视**这个问题。 → Не игнорируйте эту проблему.
胡说,hú shuō,你别**胡说**。 → Не говори ерунды.
胡同,hú tòng,这条**胡同**很有名。 → Этот переулок очень известен.
壶,hú,茶**壶**里有茶。 → В чайнике есть чай.
蝴蝶,hú dié,花园里有**蝴蝶**。 → В саду есть бабочки.
糊涂,hú tu,他真**糊涂**。 → Он действительно бестолковый.
花生,huā shēng,我喜欢吃**花生**。 → Я люблю есть арахис.
划,huà,**划**船很有趣。 → Грести на лодке весело.
华裔,huá yì,他是**华裔**美国人。 → Он американец китайского происхождения.
滑,huá,小心地**滑**。 → Осторожно скользко.
化学,huà xué,我喜欢**化学**。 → Я люблю химию.
话题,huà tí,我们换个**话题**吧。 → Давайте сменим тему.
怀念,huái niàn,我很**怀念**童年。 → Я скучаю по детству.
怀孕,huái yùn,她**怀孕**了。 → Она беременна.
缓解,huǎn jiě,药能**缓解**疼痛。 → Лекарство облегчает боль.
幻想,huàn xiǎng,这只是**幻想**。 → Это всего лишь фантазия.
慌张,huāng zhāng,他显得很**慌张**。 → Он выглядит растерянным.
黄金,huáng jīn,**黄金**值钱。 → Золото ценное.
灰,huī,墙是**灰**色的。 → Стена серого цвета.
灰尘,huī chén,桌上有**灰尘**。 → На столе пыль.
灰心,huī xīn,别**灰心**！ → Не унывайте!
挥,huī,他向我**挥**手。 → Он помахал мне рукой.
恢复,huī fù,他**恢复**了健康。 → Он восстановил здоровье.
汇率,huì lǜ,今天**汇率**是多少？ → Какой сегодня курс?
婚礼,hūn lǐ,他们的**婚礼**很隆重。 → Их свадьба была пышной.
婚姻,hūn yīn,他的**婚姻**幸福。 → У него счастливый брак.
活跃,huó yuè,他**活跃**于社交场合。 → Он активен в обществе.
