word,pinyin,context
长城,Cháng chéng,我去过**长城**两次。 → Я был на **Великой Китайской стене** два раза.
长江,Cháng jiāng,**长江**是中国最长的河流。 → **Янцзы** — самая длинная река в Китае.
尝,cháng,你**尝**一下这个菜。 → **Попробуй** это блюдо.
场,chǎng,昨天的**场**比赛很精彩。 → Вчерашний **матч** был великолепным.
超过,chāo guò,他的成绩**超过**了我。 → Его результаты **превзошли** мои.
成功,chéng gōng,他终于**成功**了。 → Он наконец-то **добился успеха**.
成为,chéng wéi,她**成为**了一名医生。 → Она **стала** врачом.
诚实,chéng shí,做人要**诚实**。 → Нужно быть **честным** человеком.
吃惊,chī jīng,"听到这个消息我很**吃惊**。 → Услышав эту новость, я очень **удивился**."
重新,chóng xīn,"请**重新**写一遍。 → Пожалуйста, перепиши **заново**."
抽烟,chōu yān,这里禁止**抽烟**。 → Здесь запрещено **курить**.
出差,chū chāi,他下周要去上海**出差**。 → Он на следующей неделе едет в **командировку** в Шанхай.
出发,chū fā,我们明天早上**出发**。 → Мы **отправляемся** завтра утром.
出生,chū shēng,我**出生**在北京。 → Я **родился** в Пекине.
出现,chū xiàn,问题**出现**了。 → Проблема **появилась**.
厨房,chú fáng,妈妈在**厨房**做饭。 → Мама готовит на **кухне**.
传真,chuán zhēn,"请把文件**传真**给我。 → Пожалуйста, отправь мне документ **факсом**."
窗户,chuāng hu,"请打开**窗户**。 → Пожалуйста, открой **окно**."
词语,cí yǔ,这个**词语**很难。 → Это **слово** трудное.
从来,cóng lái,我**从来**没去过那里。 → Я **никогда** там не был.
粗心,cū xīn,他做事很**粗心**。 → Он делает всё **небрежно**.
存,cún,我想**存**一些钱。 → Я хочу **отложить** немного денег.
错误,cuò wù,"这是一个严重的**错误**。 → Это серьёзная **ошибка**."
答案,dá àn,这道题的**答案**是什么？ → Каков **ответ** на этот вопрос?
打扮,dǎ ban,她**打扮**得很漂亮。 → Она **нарядилась** очень красиво.
打扰,dǎ rǎo,"对不起**打扰**你了。 → Извини, что **побеспокоил** тебя."
打印,dǎ yìn,"请**打印**这份文件。 → Пожалуйста, **распечатай** этот документ."
打折,dǎ zhé,这件衣服**打折**了。 → На эту одежду **скидка**.
打针,dǎ zhēn,医生给我**打针**了。 → Врач сделал мне **укол**.
大概,dà gài,他**大概**三十岁。 → Ему **примерно** тридцать лет.
大使馆,dà shǐ guǎn,我去**大使馆**办签证。 → Я еду в **посольство** оформлять визу.
大约,dà yuē,"这本书**大约**有三百页。 → В этой книге **около** трёхсот страниц."
大夫,dài fu,"**大夫**说我感冒了。 → **Врач** сказал, что я простудился."
戴,dài,他喜欢**戴**眼镜。 → Он любит **носить** очки.
当,dāng,他**当**了老师。 → Он **стал** учителем.
当时,dāng shí,"**当时**我很紧张。 → **В то время** я очень нервничал."
刀,dāo,"小心**刀**很快。 → Осторожно, **нож** очень острый."
导游,dǎo yóu,**导游**给我们介绍景点。 → **Гид** рассказывает нам о достопримечательностях.
到处,dào chù,**到处**都是人。 → **Везде** люди.
到底,dào dǐ,你**到底**想要什么？ → Что ты **в конце концов** хочешь?
道歉,dào qiàn,他向我**道歉**了。 → Он **извинился** передо мной.
得意,dé yì,他考了第一名很**得意**。 → Он занял первое место и очень **доволен собой**.
登机牌,dēng jī pái,"请出示您的**登机牌**。 → Пожалуйста, покажите ваш **посадочный талон**."
低,dī,房间的温度很**低**。 → Температура в комнате очень **низкая**.
底,dǐ,杯子**底**有水。 → На **дне** стакана вода.
地点,dì diǎn,会议的**地点**在哪里？ → Где **место** проведения встречи?
地球,dì qiú,**地球**是圆的。 → **Земля** круглая.
地址,dì zhǐ,"请告诉我你的**地址**。 → Пожалуйста, скажи мне твой **адрес**."
调查,diào chá,警察正在**调查**这件事。 → Полиция **расследует** это дело.
掉,diào,钱包**掉**在地上了。 → Кошелёк **упал** на землю.
丢,diū,我**丢**了钱包。 → Я **потерял** кошелёк.
动作,dòng zuò,他的**动作**很快。 → Его **движения** очень быстрые.
堵车,dǔ chē,北京经常**堵车**。 → В Пекине часто **пробки**.
肚子,dù zi,我**肚子**饿了。 → У меня **живот** проголодался.
短信,duǎn xìn,我给你发个**短信**。 → Я отправлю тебе **смс**.
对话,duì huà,他们的**对话**很有趣。 → Их **диалог** очень интересный.
对面,duì miàn,银行在邮局**对面**。 → Банк **напротив** почты.
对于,duì yú,**对于**这个问题我有不同看法。 → **Относительно** этого вопроса у меня другое мнение.
儿童,ér tóng,**儿童**节快乐！ → С Днём **защиты детей**!
而,ér,"他不是医生**而**是老师。 → Он не врач, **а** учитель."
发生,fā shēng,昨天**发生**了一件大事。 → Вчера **произошло** важное событие.
发展,fā zhǎn,中国经济**发展**很快。 → Экономика Китая **развивается** быстро.
法律,fǎ lǜ,我们必须遵守**法律**。 → Мы должны соблюдать **закон**.
翻译,fān yì,他是中文**翻译**。 → Он **переводчик** с китайского.
烦恼,fán nǎo,他最近有很多**烦恼**。 → У него в последнее время много **забот**.
反对,fǎn duì,我**反对**这个建议。 → Я **против** этого предложения.
反映,fǎn yìng,我向老师**反映**了这个问题。 → Я **сообщил** учителю об этой проблеме.
反正,fǎn zhèng,"**反正**我没事，可以帮你。 → **В любом случае** мне нечего делать, могу помочь тебе."
范围,fàn wéi,这超出了我的**范围**。 → Это выходит за **рамки** моих возможностей.
方法,fāng fǎ,"这个**方法**很简单，你也可以试试。 → Этот **способ** очень прост, ты тоже можешь попробовать."
方面,fāng miàn,他在这**方面**很有经验。 → У него большой опыт в этой **области**.
方向,fāng xiàng,我们走错了**方向**。 → Мы пошли не в том **направлении**.
房东,fáng dōng,**房东**很友好。 → **Хозяин квартиры** очень дружелюбный.
放弃,fàng qì,不要轻易**放弃**。 → Не **сдавайся** легко.
放暑假,fàng shǔ jià,我们什么时候**放暑假**？ → Когда у нас **летние каникулы**?
放松,fàng sōng,工作时也要**放松**一下。 → Во время работы тоже нужно **расслабляться**.
份,fèn,我要一**份**报纸。 → Мне нужен один **экземпляр** газеты.
丰富,fēng fù,这里的物产很**丰富**。 → Здесь очень **богатые** ресурсы.
风景,fēng jǐng,这里的**风景**很美。 → **Пейзаж** здесь очень красивый.
否则,fǒu zé,"快点走，**否则**就迟到了。 → Идём быстрее, **иначе** опоздаем."
符合,fú hé,这个产品**符合**标准。 → Этот продукт **соответствует** стандарту.
父亲,fù qīn,我的**父亲**是医生。 → Мой **отец** — врач.
付款,fù kuǎn,"请到收银台**付款**。 → Пожалуйста, **оплатите** на кассе."
负责,fù zé,他**负责**这个项目。 → Он **отвечает** за этот проект.
复印,fù yìn,"请帮我**复印**这份文件。 → Пожалуйста, помоги мне **скопировать** этот документ."
复杂,fù zá,这个问题很**复杂**。 → Эта проблема очень **сложная**.
富,fù,他很**富**。 → Он очень **богатый**.
改变,gǎi biàn,他的态度**改变**了。 → Его отношение **изменилось**.
干杯,gān bēi,"为我们的友谊**干杯**！ → **Выпьем** за нашу дружбу!"
干燥,gān zào,北京的冬天很**干燥**。 → В Пекине зимой очень **сухо**.
赶,gǎn,我得**赶**火车。 → Мне надо **успеть** на поезд.
敢,gǎn,你**敢**一个人去吗？ → Ты **посмеешь** пойти один?
感动,gǎn dòng,这个故事让我很**感动**。 → Эта история меня очень **тронула**.
感觉,gǎn jué,我**感觉**有点累。 → Я **чувствую** себя немного уставшим.
感情,gǎn qíng,他们的**感情**很好。 → У них хорошие **отношения**.
感谢,gǎn xiè,非常**感谢**您的帮助。 → Очень **благодарен** вам за помощь.
干嘛,gàn má,你在**干嘛**？ → Что **ты делаешь**?
刚,gāng,他**刚**到。 → Он **только что** пришёл.
高速公路,gāo sù gōng lù,这条**高速公路**很宽。 → Эта **скоростная дорога** очень широкая.
胳膊,gē bo,他的**胳膊**受伤了。 → Его **рука** травмирована.
各,gè,"**各**位朋友请注意。 → **Каждый** из друзей, обратите внимание."
工资,gōng zī,他的**工资**很高。 → У него высокая **зарплата**.
公里,gōng lǐ,这里离学校三**公里**。 → Отсюда до школы три **километра**.
功夫,gōng fu,他练**功夫**十年了。 → Он занимается **кунг-фу** уже десять лет.
共同,gòng tóng,我们有**共同**的爱好。 → У нас **общие** интересы.
够,gòu,钱不**够**。 → Денег не **хватает**.
购物,gòu wù,周末我喜欢去**购物**。 → По выходным я люблю ходить за **покупками**.
估计,gū jì,"我**估计**他不会来。 → Я **полагаю**, он не придёт."
鼓励,gǔ lì,老师**鼓励**我们好好学习。 → Учитель **поощряет** нас хорошо учиться.
鼓掌,gǔ zhǎng,大家热烈**鼓掌**。 → Все горячо **аплодируют**.
故意,gù yì,他不是**故意**的。 → Он не **нарочно**.
顾客,gù kè,**顾客**总是对的。 → **Клиент** всегда прав.
挂,guà,墙上**挂**着一幅画。 → На стене **висит** картина.
关键,guān jiàn,这是**关键**问题。 → Это **ключевой** вопрос.
观众,guān zhòng,**观众**很多。 → **Зрителей** очень много.
管理,guǎn lǐ,他**管理**这个公司。 → Он **управляет** этой компанией.
光,guāng,房间里有**光**。 → В комнате есть **свет**.
广播,guǎng bō,他在听**广播**。 → Он слушает **радиопередачу**.
广告,guǎng gào,电视上的**广告**太多了。 → По телевизору слишком много **рекламы**.
逛,guàng,我们去**逛**街吧。 → Пойдём **прогуляемся** по улице.
规定,guī dìng,这是公司的**规定**。 → Это **правило** компании.
国籍,guó jí,你的**国籍**是什么？ → Какое у тебя **гражданство**?
国际,guó jì,这是**国际**新闻。 → Это **международные** новости.
果汁,guǒ zhī,我想喝一杯**果汁**。 → Я хочу стакан **сока**.
过程,guò chéng,学习是一个长期的**过程**。 → Учёба — это длительный **процесс**.
海洋,hǎi yáng,**海洋**很深。 → **Океан** очень глубокий.
害羞,hài xiū,她很**害羞**。 → Она очень **застенчивая**.
寒假,hán jià,**寒假**我要回家。 → На **зимние каникулы** я поеду домой.
汗,hàn,他流了很多**汗**。 → Он много **потел**.
航班,háng bān,**航班**延误了。 → **Рейс** задержали.
好处,hǎo chu,锻炼有很多**好处**。 → Тренировки приносят много **пользы**.
好像,hǎo xiàng,他**好像**生病了。 → Он **похоже** заболел.
号码,hào mǎ,你的电话**号码**是多少？ → Какой у тебя **номер** телефона?
合格,hé gé,他的考试成绩**合格**了。 → Его результаты экзамена **прошли** проверку.
合适,hé shì,这双鞋很**合适**。 → Эта пара обуви очень **подходящая**.
盒子,hé zi,这个**盒子**里有什么？ → Что в этой **коробке**?
后悔,hòu huǐ,"我**后悔**没听你的话。 → Я **сожалею**, что не послушал тебя."
厚,hòu,这本书很**厚**。 → Эта книга очень **толстая**.
忽然,hū rán,**忽然**下起了大雨。 → **Внезапно** пошёл сильный дождь.
互相,hù xiāng,我们要**互相**帮助。 → Мы должны **взаимно** помогать друг другу.
护士,hù shi,**护士**很温柔。 → **Медсестра** очень нежная.
怀疑,huái yí,"我**怀疑**他在说谎。 → Я **подозреваю**, что он лжёт."
回忆,huí yì,这些**回忆**很美好。 → Эти **воспоминания** прекрасны.
活动,huó dòng,周末有什么**活动**？ → Какие на выходных **мероприятия**?
活泼,huó pō,孩子很**活泼**。 → Ребёнок очень **активный**.
火,huǒ,"小心**火**！ → Осторожно, **огонь**!"
获得,huò dé,他**获得**了第一名。 → Он **получил** первое место.
基础,jī chǔ,他的中文**基础**很好。 → У него хорошая **основа** китайского языка.
积极,jī jí,他工作很**积极**。 → Он работает очень **активно**.
积累,jī lěi,需要慢慢**积累**经验。 → Нужно постепенно **накапливать** опыт.
激动,jī dòng,"听到好消息他很**激动**。 → Услышав хорошую новость, он очень **взволновался**."
及时,jí shí,你来得很**及时**。 → Ты пришёл очень **вовремя**.
即使,jí shǐ,"**即使**下雨，我也要去。 → **Даже если** пойдёт дождь, я всё равно пойду."
计划,jì huà,我们有一个**计划**。 → У нас есть **план**.
记者,jì zhě,他是**记者**。 → Он **журналист**.
技术,jì shù,他的**技术**很好。 → У него хорошие **навыки**.
既然,jì rán,"**既然**你不喜欢，就不要做了。 → **Раз уж** тебе не нравится, не делай."
继续,jì xù,"请**继续**说。 → Пожалуйста, **продолжай** говорить."
寄,jì,我要**寄**一封信。 → Я хочу **отправить** письмо.
加班,jiā bān,今晚我要**加班**。 → Сегодня вечером мне нужно **работать сверхурочно**.
加油站,jiā yóu zhàn,前面有**加油站**。 → Впереди есть **заправка**.
家具,jiā jù,这些**家具**很贵。 → Эта **мебель** очень дорогая.
假,jiǎ,这是**假**的。 → Это **поддельное**.
价格,jià gé,**价格**很合理。 → **Цена** разумная.
坚持,jiān chí,**坚持**就是胜利。 → **Упорство** — это победа.
减肥,jiǎn féi,她想**减肥**。 → Она хочет **похудеть**.
减少,jiǎn shǎo,**减少**浪费。 → **Сократить** расходы.
建议,jiàn yì,我**建议**你早点睡。 → Я **советую** тебе раньше ложиться.
将来,jiāng lái,**将来**你想做什么？ → Что ты хочешь делать в **будущем**?
奖金,jiǎng jīn,他得到了**奖金**。 → Он получил **премию**.
降低,jiàng dī,价格**降低**了。 → Цены **снизились**.
降落,jiàng luò,飞机要**降落**了。 → Самолёт скоро **приземлится**.
交,jiāo,"请**交**作业。 → Пожалуйста, **сдай** домашнее задание."
交流,jiāo liú,文化**交流**很重要。 → Культурный **обмен** очень важен.
交通,jiāo tōng,北京的**交通**很拥挤。 → В Пекине очень оживлённое **движение**.
郊区,jiāo qū,他住在**郊区**。 → Он живёт в **пригороде**.
骄傲,jiāo ào,我为你**骄傲**。 → Я **горжусь** тобой.
饺子,jiǎo zi,中国人喜欢吃**饺子**。 → Китайцы любят есть **пельмени**.
教授,jiào shòu,他是**教授**。 → Он **профессор**.
教育,jiào yù,**教育**很重要。 → **Образование** очень важно.
接受,jiē shòu,我**接受**你的建议。 → Я **принимаю** твоё предложение.
接着,jiē zhe,**接着**说下去。 → **Продолжай** говорить.
结果,jié guǒ,考试的**结果**怎么样？ → Каков **результат** экзамена?
节,jié,今天有三**节**课。 → Сегодня три **урока**.
节约,jié yuē,我们要**节约**用水。 → Мы должны **экономить** воду.
解释,jiě shì,"请**解释**一下。 → Пожалуйста, **объясни**."
尽管,jǐn guǎn,"**尽管**很累，他还是坚持工作。 → **Несмотря на** усталость, он продолжает работать."
紧,jǐn,这件衣服太**紧**了。 → Эта одежда слишком **тесная**.
进行,jìn xíng,会议正在**进行**。 → Собрание **проходит**.
禁止,jìn zhǐ,这里**禁止**吸烟。 → Здесь **запрещено** курить.
精彩,jīng cǎi,这场演出很**精彩**。 → Это представление очень **великолепное**.
精神,jīng shén,他的**精神**很好。 → У него хорошее **самочувствие**.
经济,jīng jì,中国**经济**发展很快。 → **Экономика** Китая развивается быстро.
经历,jīng lì,他**经历**了很多事。 → Он **пережил** многое.
经验,jīng yàn,他有很多工作**经验**。 → У него большой рабочий **опыт**.
京剧,jīng jù,**京剧**是中国的国粹。 → **Пекинская опера** — национальное сокровище Китая.
警察,jǐng chá,**警察**来了。 → **Полиция** пришла.
竞争,jìng zhēng,**竞争**很激烈。 → **Конкуренция** очень жёсткая.
竟然,jìng rán,他**竟然**忘了我的生日。 → Он **неожиданно** забыл мой день рождения.
镜子,jìng zi,**镜子**里的人是谁？ → Кто этот человек в **зеркале**?
究竟,jiū jìng,你**究竟**想要什么？ → Что **в конце концов** ты хочешь?
举,jǔ,"请**举**手回答。 → Пожалуйста, **подними** руку, чтобы ответить."
举办,jǔ bàn,公司**举办**了一个晚会。 → Компания **провела** вечеринку.
举行,jǔ xíng,会议在哪里**举行**？ → Где **проводится** собрание?
拒绝,jù jué,他**拒绝**了我的请求。 → Он **отказал** в моей просьбе.
具体,jù tǐ,"请说得**具体**一点。 → Пожалуйста, говори **конкретнее**."
距离,jù lí,我们的**距离**很远。 → Между нами большое **расстояние**.
聚会,jù huì,周末有**聚会**。 → На выходных **встреча**.
开玩笑,kāi wán xiào,他喜欢**开玩笑**。 → Он любит **шутить**.
开心,kāi xīn,今天我很**开心**。 → Сегодня я очень **рад**.
看法,kàn fǎ,你的**看法**是什么？ → Какое у тебя **мнение**?
烤鸭,kǎo yā,北京**烤鸭**很有名。 → Пекинская **утка** очень знаменита.
考虑,kǎo lǜ,让我**考虑**一下。 → Дай мне **подумать**.
科学,kē xué,**科学**很有趣。 → **Наука** очень интересна.
棵,kē,院子里有一**棵**树。 → Во дворе одно **дерево**.
咳嗽,ké sou,他**咳嗽**得很厉害。 → Он сильно **кашляет**.
可怜,kě lián,那只猫很**可怜**。 → Эта кошка очень **бедная**.
可是,kě shì,"我想去**可是**没时间。 → Я хочу пойти, **но** нет времени."
可惜,kě xī,"真**可惜**你不能来。 → Очень **жаль**, что ты не можешь прийти."
客厅,kè tīng,**客厅**很大。 → **Гостиная** большая.
肯定,kěn dìng,"我**肯定**他会来。 → Я **уверен**, что он придёт."
空,kōng,瓶子是**空**的。 → Бутылка **пустая**.
空气,kōng qì,这里的**空气**很新鲜。 → Здесь **воздух** свежий.
恐怕,kǒng pà,"我**恐怕**去不了了。 → **Боюсь**, я не смогу пойти."
苦,kǔ,这个药很**苦**。 → Это лекарство очень **горькое**.
矿泉水,kuàng quán shuǐ,"请给我一瓶**矿泉水**。 → Пожалуйста, дай мне бутылку **минеральной воды**."
困,kùn,我有点**困**。 → Я немного **сонный**.
困难,kùn nan,遇到了一些**困难**。 → Встретились некоторые **трудности**.
垃圾桶,lā jī tǒng,**垃圾桶**在哪里？ → Где **мусорное ведро**?
拉,lā,"请**拉**门。 → Пожалуйста, **потяни** дверь."
辣,là,这道菜很**辣**。 → Это блюдо очень **острое**.
来不及,lái bu jí,**来不及**了！ → **Не успеть**!
来得及,lái de jí,"现在出发还**来得及**。 → Сейчас отправиться ещё **успеем**."
来自,lái zì,我**来自**俄罗斯。 → Я **из** России.
懒,lǎn,他很**懒**。 → Он очень **ленивый**.
浪费,làng fèi,不要**浪费**时间。 → Не **трать** время.
浪漫,làng màn,他很**浪漫**。 → Он очень **романтичный**.
老虎,lǎo hǔ,**老虎**很凶。 → **Тигр** очень свирепый.
冷静,lěng jìng,"请**冷静**一下。 → Пожалуйста, **успокойся**."
礼拜天,lǐ bài tiān,**礼拜天**我休息。 → В **воскресенье** я отдыхаю.
礼貌,lǐ mào,他很有**礼貌**。 → Он очень **вежливый**.
理发,lǐ fà,我要去**理发**。 → Мне надо **постричься**.
理解,lǐ jiě,我**理解**你的感受。 → Я **понимаю** твои чувства.
理想,lǐ xiǎng,他的**理想**是当医生。 → Его **мечта** — стать врачом.
力气,lì qi,他**力气**很大。 → У него большая **сила**.
厉害,lì hai,你真**厉害**！ → Ты действительно **молодец**!
例如,lì rú,"我喜欢运动，**例如**游泳。 → Я люблю спорт, **например**, плавание."
俩,liǎ,我们**俩**是好朋友。 → Мы **двое** — хорошие друзья.
连,lián,他**连**饭也没吃。 → Он **даже** не поел.
联系,lián xì,"请保持**联系**。 → Пожалуйста, оставайся на **связи**."
凉快,liáng kuai,今天很**凉快**。 → Сегодня **прохладно**.
零钱,líng qián,我没有**零钱**。 → У меня нет **мелочи**.
另外,lìng wài,"**另外**还有一个问题。 → **Кроме того**, есть ещё один вопрос."
留,liú,"请**留**下你的电话。 → Пожалуйста, **оставь** свой телефон."
留学,liú xué,他在中国**留学**。 → Он **учится за границей** в Китае.
流泪,liú lèi,"她感动得**流泪**了。 → Она была так тронута, что **заплакала**."
流利,liú lì,他的中文很**流利**。 → Его китайский очень **беглый**.
流行,liú xíng,这首歌很**流行**。 → Эта песня очень **популярна**.
旅行,lǚ xíng,我喜欢**旅行**。 → Я люблю **путешествовать**.
律师,lǜ shī,他是**律师**。 → Он **юрист**.
乱,luàn,房间很**乱**。 → В комнате **беспорядок**.
麻烦,má fan,真**麻烦**你了。 → Извини за **беспокойство**.
马虎,mǎ hu,他做事很**马虎**。 → Он делает всё **небрежно**.
满,mǎn,杯子是**满**的。 → Стакан **полный**.
毛,máo,这件衣服是**毛**的。 → Эта одежда **шерстяная**.
毛巾,máo jīn,"请给我**毛巾**。 → Пожалуйста, дай мне **полотенце**."
美丽,měi lì,这里风景**美丽**。 → Здесь **красивые** пейзажи.
梦,mèng,昨晚我做了一个**梦**。 → Прошлой ночью мне приснился **сон**.
迷路,mí lù,我**迷路**了。 → Я **заблудился**.
密码,mì mǎ,"请输入**密码**。 → Пожалуйста, введите **пароль**."
免费,miǎn fèi,这是**免费**的。 → Это **бесплатно**.
秒,miǎo,还有十**秒**。 → Осталось десять **секунд**.
民族,mín zú,中国有56个**民族**。 → В Китае 56 **народностей**.
母亲,mǔ qīn,我爱我的**母亲**。 → Я люблю свою **мать**.
目的,mù dì,你的**目的**是什么？ → Какова твоя **цель**?
耐心,nài xīn,他很有**耐心**。 → У него большое **терпение**.
难道,nán dào,**难道**你不知道吗？ → **Неужели** ты не знаешь?
难受,nán shòu,我感觉很**难受**。 → Я чувствую себя очень **плохо**.
内,nèi,**内**部消息。 → **Внутренняя** информация.
内容,nèi róng,这本书的**内容**很有趣。 → **Содержание** этой книги очень интересное.
能力,néng lì,他的工作**能力**很强。 → У него сильные рабочие **способности**.
年级,nián jí,你是几**年级**的？ → В каком ты **классе**?
年龄,nián líng,他的**年龄**和我差不多。 → Его **возраст** примерно как у меня.
弄,nòng,谁**弄**坏了？ → Кто **сломал**?
暖和,nuǎn huo,今天很**暖和**。 → Сегодня **тепло**.
偶尔,ǒu ěr,我**偶尔**去看电影。 → Я **изредка** хожу в кино.
排队,pái duì,"请**排队**。 → Пожалуйста, встаньте в **очередь**."
排列,pái liè,"请按字母顺序**排列**。 → Пожалуйста, **расположите** в алфавитном порядке."
判断,pàn duàn,"我**判断**他是好人。 → Я **сужу**, что он хороший человек."
陪,péi,我**陪**你去。 → Я **составлю компанию** тебе.
批评,pī píng,老师**批评**了我。 → Учитель **отчитал** меня.
皮肤,pí fū,她的**皮肤**很好。 → У неё хорошая **кожа**.
脾气,pí qi,他的**脾气**不好。 → У него плохой **характер**.
篇,piān,这是一**篇**好文章。 → Это хорошая **статья**.
骗,piàn,他**骗**了我。 → Он **обманул** меня.
乒乓球,pīng pāng qiú,我喜欢打**乒乓球**。 → Я люблю играть в **настольный теннис**.
平时,píng shí,**平时**我七点起床。 → **Обычно** я встаю в семь.
破,pò,杯子**破**了。 → Стакан **разбился**.
葡萄,pú tao,我喜欢吃**葡萄**。 → Я люблю есть **виноград**.
普遍,pǔ biàn,这种现象很**普遍**。 → Это явление очень **распространено**.
普通话,pǔ tōng huà,"请说**普通话**。 → Пожалуйста, говорите на **путунхуа**."
其次,qí cì,**其次**是质量问题。 → **Во-вторых** — вопрос качества.
其中,qí zhōng,**其中**一个是我朋友。 → **Среди них** один — мой друг.
气候,qì hòu,这里**气候**很好。 → Здесь хороший **климат**.
千万,qiān wàn,你**千万**要小心。 → **Обязательно** будь осторожен.
签证,qiān zhèng,我需要办**签证**。 → Мне нужно оформить **визу**.
敲,qiāo,有人在**敲**门。 → Кто-то **стучит** в дверь.
桥,qiáo,**桥**很长。 → **Мост** длинный.
巧克力,qiǎo kè lì,我喜欢吃**巧克力**。 → Я люблю **шоколад**.
亲戚,qīn qi,这是我的**亲戚**。 → Это мои **родственники**.
轻,qīng,这个箱子很**轻**。 → Этот чемодан **лёгкий**.
轻松,qīng sōng,周末我想**轻松**一下。 → На выходных я хочу **расслабиться**.
情况,qíng kuàng,你的**情况**怎么样？ → Как у тебя **дела**?
穷,qióng,他家很**穷**。 → Его семья очень **бедная**.
区别,qū bié,这两个词的**区别**是什么？ → В чём **разница** между этими двумя словами?
取,qǔ,我去银行**取**钱。 → Я иду в банк **снимать** деньги.
全部,quán bù,这是**全部**的钱。 → Это **все** деньги.
缺点,quē diǎn,人都有**缺点**。 → У всех есть **недостатки**.
缺少,quē shǎo,我们**缺少**经验。 → Нам **не хватает** опыта.
确实,què shí,他**确实**很努力。 → Он **действительно** очень старается.
然而,rán ér,"我想去，**然而**没时间。 → Я хочу пойти, **однако** нет времени."
热闹,rè nao,这里很**热闹**。 → Здесь очень **оживлённо**.
任何,rèn hé,**任何**人都不能进来。 → **Никто** не может войти.
任务,rèn wu,**任务**完成了。 → **Задача** выполнена.
扔,rēng,"请把垃圾**扔**了。 → Пожалуйста, **выбрось** мусор."
仍然,réng rán,他**仍然**爱她。 → Он **всё ещё** любит её.
日记,rì jì,他每天写**日记**。 → Он каждый день пишет **дневник**.
入口,rù kǒu,**入口**在那边。 → **Вход** там.
散步,sàn bù,我去公园**散步**。 → Я иду в парк **прогуляться**.
森林,sēn lín,**森林**里有很多动物。 → В **лесу** много животных.
沙发,shā fā,**沙发**很舒服。 → **Диван** удобный.
