word,pinyin,context
葡萄,pú tao,**葡萄** 是紫色的。 → **Виноград** фиолетового цвета.
草莓,cǎo méi,我最喜欢吃**草莓**。 → Больше всего я люблю есть **клубнику**.
梨,lí,这个**梨** 很多汁。 → Эта **груша** очень сочная.
橘子,jú zi,冬天我常吃**橘子**。 → Зимой я часто ем **мандарины**.
水,shuǐ,"请给我一杯**水**。 → Дайте мне стакан **воды**, пожалуйста."
茶,chá,中国人喜欢喝**茶**。 → Китайцы любят пить **чай**.
咖啡,kā fēi,我早上喝**咖啡**。 → Утром я пью **кофе**.
牛奶,niú nǎi,孩子每天喝**牛奶**。 → Ребёнок каждый день пьёт **молоко**.
啤酒,pí jiǔ,夏天喝**啤酒** 很爽。 → Летом пить **пиво** здорово.
白酒,bái jiǔ,**白酒** 度数很高。 → У **байцзю** высокий градус.
葡萄酒,pú tao jiǔ,晚饭我喝一杯**葡萄酒**。 → За ужином я пью бокал **вина**.
果汁,guǒ zhī,孩子喜欢喝**果汁**。 → Дети любят пить **сок**.
可乐,kě lè,我想要一杯**可乐**。 → Я хочу стакан **колы**.
甜,tián,这个蛋糕太**甜** 了。 → Этот торт слишком **сладкий**.
酸,suān,柠檬很**酸**。 → Лимон очень **кислый**.
苦,kǔ,这个咖啡有点**苦**。 → Этот кофе немного **горький**.
辣,là,四川菜很**辣**。 → Сычуаньская еда очень **острая**.
咸,xián,这个汤太**咸** 了。 → Этот суп слишком **солёный**.
香,xiāng,妈妈做的菜很**香**。 → Блюда мамы очень **ароматные**.
好吃,hǎo chī,这个菜真**好吃**。 → Это блюдо действительно **вкусное**.
难吃,nán chī,这个面条很**难吃**。 → Эта лапша очень **невкусная**.
吃,chī,我想**吃** 饺子。 → Я хочу **есть** пельмени.
喝,hē,你想**喝** 什么? → Что ты хочешь **пить**?
做菜,zuò cài,我妈妈很会**做菜**。 → Моя мама хорошо умеет **готовить**.
煮,zhǔ,我**煮** 了一些面条。 → Я **сварил** немного лапши.
炒,chǎo,我喜欢**炒** 蔬菜。 → Я люблю **жарить** овощи.
烤,kǎo,**烤** 鸭很有名。 → **Жареная** утка очень знаменита.
切,qiē,"请**切** 一下西瓜。 → **Нарежь**, пожалуйста, арбуз."
餐厅,cān tīng,这个**餐厅** 很有名。 → Этот **ресторан** очень известный.
饭店,fàn diàn,我们去**饭店** 吃饭吧。 → Пойдём поедим в **ресторане**.
服务员,fú wù yuán,"**服务员**,请给我菜单。 → **Официант**, дайте мне меню, пожалуйста."
菜单,cài dān,"请给我看一下**菜单**。 → Покажите мне **меню**, пожалуйста."
点菜,diǎn cài,我们可以**点菜** 了吗? → Можно нам уже **сделать заказ**?
买单,mǎi dān,"**买单**,谢谢。 → **Счёт**, пожалуйста."
筷子,kuài zi,我不会用**筷子**。 → Я не умею пользоваться **палочками**.
勺子,sháo zi,"请给我一个**勺子**。 → Дайте мне **ложку**, пожалуйста."
盘子,pán zi,这个**盘子** 很漂亮。 → Эта **тарелка** очень красивая.
杯子,bēi zi,"请给我一个**杯子**。 → Дайте мне **стакан**, пожалуйста."
碗,wǎn,我想要一**碗** 米饭。 → Я хочу **миску** риса.
