word,pinyin,context
跟,gēn,我**跟**他一起去。 → Я пойду вместе с ним.
根据,gēn jù,**根据**新闻报道。 → Согласно новостям.
公园,gōng yuán,我们去**公园**散步。 → Пойдём гулять в парк.
故事,gù shi,他喜欢听**故事**。 → Он любит слушать истории.
刮风,guā fēng,外面**刮风**了。 → На улице ветер.
关,guān,"请**关**门。 → Закрой дверь, пожалуйста."
关系,guān xi,他们**关系**很好。 → У них хорошие отношения.
关心,guān xīn,妈妈很**关心**我。 → Мама обо мне заботится.
关于,guān yú,**关于**这件事。 → Касательно этого дела.
国家,guó jiā,中国是个大**国家**。 → Китай — большая страна.
过去,guò qù,**过去**的事不要想。 → Не думай о прошлом.
害怕,hài pà,我**害怕**狗。 → Я боюсь собак.
还是,hái shi,你**还是**早点去吧。 → Тебе всё же лучше пойти пораньше.
环境,huán jìng,这里**环境**很好。 → Здесь хорошая обстановка.
换,huàn,我想**换**一件衣服。 → Я хочу переодеться.
回答,huí dá,"请**回答**我的问题。 → Пожалуйста, ответь на мой вопрос."
会议,huì yì,下午有**会议**。 → Днём будет совещание.
或者,huò zhě,茶**或者**咖啡都行。 → Чай или кофе подойдёт.
几乎,jī hū,我**几乎**忘了。 → Я почти забыл.
机会,jī huì,这是个好**机会**。 → Это хорошая возможность.
记得,jì de,你**记得**他吗？ → Ты его помнишь?
季节,jì jié,秋天是我喜欢的**季节**。 → Осень — моё любимое время года.
检查,jiǎn chá,医生**检查**了我的身体。 → Врач осмотрел меня.
简单,jiǎn dān,这个问题很**简单**。 → Этот вопрос очень простой.
见面,jiàn miàn,我们明天**见面**。 → Завтра встретимся.
健康,jiàn kāng,**健康**最重要。 → Здоровье — самое важное.
讲,jiǎng,老师**讲**得很好。 → Учитель хорошо рассказывает.
教,jiāo,他**教**我中文。 → Он учит меня китайскому.
脚,jiǎo,我的**脚**疼。 → У меня болит нога.
节日,jié rì,春节是中国的**节日**。 → Праздник весны — китайский праздник.
结婚,jié hūn,他们去年**结婚**了。 → Они поженились в прошлом году.
结束,jié shù,会议**结束**了。 → Собрание закончилось.
解决,jiě jué,问题已经**解决**了。 → Проблема уже решена.
借,jiè,我**借**你一本书。 → Я одолжу тебе книгу.
经常,jīng cháng,他**经常**去旅游。 → Он часто путешествует.
经过,jīng guò,我**经过**他家门口。 → Я прошёл мимо его дома.
经理,jīng lǐ,他是公司**经理**。 → Он менеджер компании.
旧,jiù,这本书很**旧**了。 → Эта книга очень старая.
决定,jué dìng,我**决定**去中国。 → Я решил поехать в Китай.
可爱,kě ài,这只小猫很**可爱**。 → Этот котёнок очень милый.
渴,kě,我有点**渴**。 → Я немного хочу пить.
刻,kè,差一**刻**八点。 → Без четверти восемь.
空调,kōng tiáo,把**空调**打开。 → Включи кондиционер.
裤子,kù zi,这条**裤子**很新。 → Эти штаны новые.
筷子,kuài zi,我会用**筷子**。 → Я умею пользоваться палочками.
离开,lí kāi,他已经**离开**了。 → Он уже ушёл.
礼物,lǐ wù,这是给你的**礼物**。 → Это подарок для тебя.
历史,lì shǐ,我喜欢**历史**。 → Мне нравится история.
脸,liǎn,她的**脸**很白。 → У неё бледное лицо.
练习,liàn xí,多**练习**汉语。 → Больше упражняйся в китайском.
辆,liàng,我买了一**辆**新车。 → Я купил новую машину.
聊天,liáo tiān,我们**聊天**了一会儿。 → Мы немного поболтали.
了解,liǎo jiě,"我**了解**你的意思。 → Я понимаю, что ты имеешь в виду."
邻居,lín jū,我的**邻居**很友好。 → Мои соседи очень дружелюбные.
马上,mǎ shàng,我**马上**就来。 → Я сейчас же приду.
满意,mǎn yì,我对结果很**满意**。 → Я доволен результатом.
明白,míng bai,我**明白**了。 → Я понял.
奶奶,nǎi nai,**奶奶**七十岁了。 → Бабушке семьдесят лет.
难,nán,这个字很**难**。 → Этот иероглиф трудный.
难过,nán guò,我心里很**难过**。 → Мне очень грустно.
努力,nǔ lì,你要**努力**学习。 → Ты должен старательно учиться.
胖,pàng,他比以前**胖**了。 → Он поправился.
便宜,pián yi,这件衣服很**便宜**。 → Эта одежда дешёвая.
其实,qí shí,**其实**我不知道。 → На самом деле я не знаю.
其他,qí tā,**其他**人都来了。 → Все остальные пришли.
奇怪,qí guài,这件事很**奇怪**。 → Это дело странное.
骑,qí,他**骑**自行车上班。 → Он ездит на работу на велосипеде.
清楚,qīng chu,我看不**清楚**。 → Я не вижу чётко.
秋,qiū,**秋**天很美。 → Осень очень красивая.
裙子,qún zi,这条**裙子**很漂亮。 → Эта юбка красивая.
然后,rán hòu,"我先吃饭，**然后**学习。 → Я сначала поем, потом буду учиться."
热情,rè qíng,他对我很**热情**。 → Он со мной очень радушен.
认为,rèn wéi,"我**认为**他是对的。 → Я считаю, что он прав."
认真,rèn zhēn,他工作很**认真**。 → Он работает добросовестно.
容易,róng yì,这个不**容易**。 → Это нелегко.
如果,rú guǒ,"**如果**下雨就别去。 → Если пойдёт дождь, не ходи."
生气,shēng qì,他**生气**了。 → Он рассердился.
声音,shēng yīn,你的**声音**真好听。 → У тебя очень приятный голос.
世界,shì jiè,**世界**很大。 → Мир велик.
叔叔,shū shu,**叔叔**来看我们。 → Дядя пришёл к нам.
舒服,shū fu,沙发很**舒服**。 → Диван очень удобный.
刷牙,shuā yá,早晚要**刷牙**。 → Утром и вечером нужно чистить зубы.
水平,shuǐ píng,他的**水平**很高。 → Его уровень очень высокий.
虽然,suī rán,"**虽然**累，但很高兴。 → Хотя устал, но очень рад."
太阳,tài yáng,**太阳**出来了。 → Солнце взошло.
特别,tè bié,今天**特别**冷。 → Сегодня особенно холодно.
疼,téng,我头**疼**。 → У меня болит голова.
提高,tí gāo,我想**提高**汉语水平。 → Я хочу повысить уровень китайского.
体育,tǐ yù,他喜欢**体育**。 → Он любит спорт.
甜,tián,这个苹果很**甜**。 → Это яблоко сладкое.
同意,tóng yì,我**同意**你的看法。 → Я согласен с твоим мнением.
头发,tóu fa,她的**头发**很长。 → У неё длинные волосы.
突然,tū rán,**突然**下雨了。 → Внезапно пошёл дождь.
图书馆,tú shū guǎn,我在**图书馆**学习。 → Я учусь в библиотеке.
腿,tuǐ,我的**腿**疼。 → У меня болят ноги.
完成,wán chéng,我**完成**了作业。 → Я выполнил домашнее задание.
碗,wǎn,一**碗**饭。 → Тарелка риса.
忘记,wàng jì,我**忘记**了他的名字。 → Я забыл его имя.
为,wèi,我**为**你高兴。 → Я рад за тебя.
为了,wèi le,"**为了**学习汉语，他去了中国。 → Чтобы изучать китайский, он поехал в Китай."
文化,wén huà,中国**文化**很有趣。 → Китайская культура очень интересная.
习惯,xí guàn,我**习惯**早起。 → Я привык рано вставать.
洗手间,xǐ shǒu jiān,**洗手间**在哪里？ → Где туалет?
洗澡,xǐ zǎo,睡觉前**洗澡**。 → Перед сном принимаю душ.
夏,xià,**夏**天很热。 → Лето очень жаркое.
先,xiān,你**先**去吧。 → Иди первым.
相信,xiāng xìn,我**相信**你。 → Я тебе верю.
小心,xiǎo xīn,"**小心**车！ → Осторожно, машина!"
校长,xiào zhǎng,**校长**很严格。 → Директор школы строгий.
新闻,xīn wén,我每天看**新闻**。 → Я каждый день смотрю новости.
新鲜,xīn xiān,水果很**新鲜**。 → Фрукты свежие.
需要,xū yào,我**需要**帮助。 → Мне нужна помощь.
选择,xuǎn zé,这是你的**选择**。 → Это твой выбор.
要求,yāo qiú,这个**要求**很高。 → Это требование высокое.
爷爷,yé ye,**爷爷**身体很好。 → У дедушки хорошее здоровье.
一般,yì bān,这本书**一般**。 → Эта книга обычная.
一边,yì biān,**一边**走**一边**唱。 → Идти и петь одновременно.
一定,yí dìng,我**一定**会来的。 → Я обязательно приду.
一会儿,yí huìr,等**一会儿**。 → Подожди немного.
一样,yí yàng,我们**一样**高。 → Мы одинакового роста.
一直,yì zhí,他**一直**在等你。 → Он всё время тебя ждал.
以为,yǐ wéi,"我**以为**他来了。 → Я думал, что он пришёл."
音乐,yīn yuè,我喜欢**音乐**。 → Я люблю музыку.
银行,yín háng,**银行**几点开门？ → Во сколько открывается банк?
应该,yīng gāi,你**应该**早点睡。 → Тебе следует раньше ложиться.
影响,yǐng xiǎng,这件事**影响**了我。 → Это дело повлияло на меня.
游戏,yóu xì,孩子们在玩**游戏**。 → Дети играют в игры.
有名,yǒu míng,他很**有名**。 → Он очень знаменит.
遇到,yù dào,我**遇到**了老朋友。 → Я встретил старого друга.
愿意,yuàn yì,我**愿意**帮助你。 → Я готов тебе помочь.
越,yuè,雨**越**下**越**大。 → Дождь становится всё сильнее.
着急,zháo jí,"别**着急**，慢慢来。 → Не торопись, делай медленно."
照顾,zhào gù,妈妈**照顾**孩子。 → Мама заботится о ребёнке.
照片,zhào piàn,这张**照片**很好看。 → Эта фотография красивая.
只,zhǐ,我**只**有一个。 → У меня только один.
只有,zhǐ yǒu,**只有**他知道。 → Только он знает.
终于,zhōng yú,他**终于**来了。 → Он наконец пришёл.
重要,zhòng yào,这件事很**重要**。 → Это дело важное.
周末,zhōu mò,**周末**我去公园。 → На выходных я иду в парк.
注意,zhù yì,**注意**安全。 → Будь осторожен.
自己,zì jǐ,我**自己**去。 → Я пойду сам.
总是,zǒng shì,他**总是**迟到。 → Он всегда опаздывает.
最后,zuì hòu,**最后**他赢了。 → В конце концов он победил.
最近,zuì jìn,**最近**很忙。 → Недавно был очень занят.
作业,zuò yè,我在做**作业**。 → Я делаю домашнее задание.
作用,zuò yòng,这个药**作用**很大。 → Это лекарство имеет большое действие.
