word,pinyin,context
财富,cái fù,**财富** 知识是宝贵的**财富**。 → Знание — это драгоценное **богатство**.
基因,jī yīn,**基因** 科学家在研究**基因**。 → Учёные исследуют **гены**.
仪式,yí shì,**仪式** 婚礼**仪式**很隆重。 → Свадебная **церемония** очень торжественная.
协议,xié yì,**协议** 双方签署了**协议**。 → Обе стороны подписали **соглашение**.
鉴于,jiàn yú,"**鉴于** **鉴于**情况严重，我们必须行动。 → **Учитывая** серьёзность ситуации, мы должны действовать."
倘若,tǎng ruò,"**倘若** **倘若**下雨，比赛将取消。 → **Если бы** пошёл дождь, матч был бы отменён."
即便,jí biàn,"**即便** **即便**失败，我也不放弃。 → **Даже если** проиграю, я не сдамся."
哪怕,nǎ pà,"**哪怕** **哪怕**只有一线希望，也要尝试。 → **Даже если** есть лишь луч надежды, надо пробовать."
索性,suǒ xìng,"**索性** 既然来了，**索性**多待几天。 → Раз уж приехал, **уж лучше** останься подольше."
干脆,gān cuì,**干脆** 我们**干脆**走吧。 → Давай **просто** уйдём.
凡是,fán shì,**凡是** **凡是**学生都要遵守规则。 → **Все** студенты должны соблюдать правила.
一概,yī gài,**一概** 他**一概**不答应。 → Он **полностью** не соглашается.
一律,yī lǜ,**一律** 所有人**一律**平等。 → Все люди **одинаково** равны.
一贯,yī guàn,**一贯** 他**一贯**支持改革。 → Он **постоянно** поддерживает реформы.
始终,shǐ zhōng,**始终** 他**始终**坚持自己的观点。 → Он **с начала до конца** придерживается своего мнения.
一举两得,yī jǔ liǎng dé,**一举两得** 这真是**一举两得**的办法。 → Это поистине способ **одним выстрелом убить двух зайцев**.
锲而不舍,qiè ér bù shě,"他做事**锲而不舍**，终于成功了。 → Он за дело берётся **с упорством**, в итоге добился успеха."
名副其实,míng fù qí shí,**名副其实** 他是一位**名副其实**的专家。 → Он **истинный** эксперт.
一目了然,yī mù liǎo rán,**一目了然** 这张图表**一目了然**。 → По этой диаграмме **всё ясно с первого взгляда**.
持之以恒,chí zhī yǐ héng,"学习需要**持之以恒**，不能半途而废。 → Учёба требует **постоянства**, нельзя бросать на полпути."
千方百计,qiān fāng bǎi jì,**千方百计** 他**千方百计**地想要成功。 → Он **всеми возможными способами** стремится к успеху.
滔滔不绝,tāo tāo bù jué,"**滔滔不绝** 他讲起话来**滔滔不绝**。 → Когда он начинает говорить, его **не остановить**."
络绎不绝,luò yì bù jué,**络绎不绝** 游客**络绎不绝**地来到这里。 → Туристы **непрерывным потоком** прибывают сюда.
与众不同,yǔ zhòng bù tóng,**与众不同** 她的想法**与众不同**。 → Её мысли **отличаются от остальных**.
不约而同,bù yuē ér tóng,他们**不约而同**地选择了同一条路。 → Они **не сговариваясь** выбрали один и тот же путь.
见多识广,jiàn duō shí guǎng,"**见多识广** 他**见多识广**，知识丰富。 → Он **много повидал**, у него богатые знания."
自相矛盾,zì xiāng máo dùn,**自相矛盾** 你的说法**自相矛盾**。 → Твои слова **противоречат сами себе**.
画蛇添足,huà shé tiān zú,**画蛇添足** 这样修改是**画蛇添足**。 → Такая правка — это **лишнее**.
亡羊补牢,wáng yáng bǔ láo,"虽然损失了，但**亡羊补牢**还不算晚。 → Хотя есть потери, **исправлять ошибки** ещё не поздно."
守株待兔,shǒu zhū dài tù,"**守株待兔** 不要**守株待兔**，要主动出击。 → Не сиди **в ожидании удачи**, действуй активно."
井底之蛙,jǐng dǐ zhī wā,**井底之蛙** 不要做**井底之蛙**。 → Не будь **лягушкой на дне колодца**.
胸有成竹,xiōng yǒu chéng zhú,"考试前他**胸有成竹**，毫不紧张。 → Перед экзаменом он **полон уверенности**, совсем не нервничает."
对牛弹琴,duì niú tán qín,**对牛弹琴** 跟他讲道理是**对牛弹琴**。 → Объяснять ему — всё равно что **играть на лютне быку**.
雪上加霜,xuě shàng jiā shuāng,失业之后又生病，真是**雪上加霜**。 → После потери работы ещё и заболел — это **беда за бедой**.
锦上添花,jǐn shàng tiān huā,**锦上添花** 这个奖项**锦上添花**。 → Эта награда **только украшает успех**.
水落石出,shuǐ luò shí chū,**水落石出** 真相终将**水落石出**。 → Правда в конце концов **выйдет наружу**.
熟能生巧,shú néng shēng qiǎo,"只要不断练习，就能**熟能生巧**。 → Если постоянно практиковаться, **мастерство придёт с опытом**."
有备无患,yǒu bèi wú huàn,**有备无患** 出门前做好准备**有备无患**。 → Перед выходом готовиться — **подготовка спасает от бед**.
任重道远,rèn zhòng dào yuǎn,"**任重道远** 改革**任重道远**。 → Реформы — **тяжёлая ноша, долгий путь**."
一帆风顺,yī fān fēng shùn,**一帆风顺** 祝你的事业**一帆风顺**。 → Желаю твоему делу **попутного ветра**.
不可思议,bù kě sī yì,**不可思议** 这件事真是**不可思议**。 → Это поистине **немыслимо**.
不言而喻,bù yán ér yù,**不言而喻** 答案是**不言而喻**的。 → Ответ **очевиден без слов**.
异口同声,yì kǒu tóng shēng,**异口同声** 大家**异口同声**地表示同意。 → Все **в один голос** выразили согласие.
全力以赴,quán lì yǐ fù,**全力以赴** 我们要**全力以赴**完成任务。 → Мы должны **выложиться полностью** при выполнении задания.
日新月异,rì xīn yuè yì,**日新月异** 科技**日新月异**。 → Технологии **меняются с каждым днём**.
川流不息,chuān liú bù xī,**川流不息** 大街上车辆**川流不息**。 → На улице машины **движутся непрерывным потоком**.
栩栩如生,xǔ xǔ rú shēng,**栩栩如生** 这幅画**栩栩如生**。 → Эта картина **как живая**.
日积月累,rì jī yuè lěi,"知识需要**日积月累**，不能急于求成。 → Знания **накапливаются годами**, нельзя спешить."
朝夕相处,zhāo xī xiāng chǔ,"我们**朝夕相处**，关系很好。 → Мы **проводим вместе дни и ночи**, отношения отличные."
半途而废,bàn tú ér fèi,**半途而废** 做事不要**半途而废**。 → Не **бросай дело на полпути**.
精益求精,jīng yì qiú jīng,**精益求精** 我们的产品**精益求精**。 → Наш продукт — **совершенство в совершенстве**.
深思熟虑,shēn sī shú lǜ,**深思熟虑** 这是**深思熟虑**的决定。 → Это **тщательно обдуманное** решение.
家喻户晓,jiā yù hù xiǎo,**家喻户晓** 他是**家喻户晓**的明星。 → Он **известная всем** звезда.
迫不及待,pò bù jí dài,**迫不及待** 孩子**迫不及待**地打开礼物。 → Ребёнок **с нетерпением** распаковал подарок.
理所当然,lǐ suǒ dāng rán,**理所当然** 这是**理所当然**的事。 → Это **само собой разумеющееся** дело.
独一无二,dú yī wú èr,**独一无二** 她是**独一无二**的。 → Она **единственная и неповторимая**.
颠倒,diān dǎo,**颠倒** 他把事实**颠倒**了。 → Он **перевернул** факты.
摧毁,cuī huǐ,**摧毁** 地震**摧毁**了城市。 → Землетрясение **уничтожило** город.
谋取,móu qǔ,**谋取** 他**谋取**个人利益。 → Он **добивается** личной выгоды.
谋求,móu qiú,**谋求** 我们**谋求**和平解决。 → Мы **стремимся к** мирному решению.
谋划,móu huà,**谋划** 他在**谋划**新的项目。 → Он **планирует** новый проект.
谋杀,móu shā,**谋杀** 警方在调查**谋杀**案。 → Полиция расследует **убийство**.
渗入,shèn rù,**渗入** 水**渗入**了地下。 → Вода **просочилась** в землю.
弥漫,mí màn,**弥漫** 雾气**弥漫**着整个山谷。 → Туман **окутывает** всю долину.
弥留,mí liú,**弥留** 他在**弥留**之际。 → Он на **смертном одре**.
缄默,jiān mò,**缄默** 他保持**缄默**。 → Он хранит **молчание**.
寡言,guǎ yán,**寡言** 他是个**寡言**少语的人。 → Он **немногословный** человек.
婉言,wǎn yán,**婉言** 他**婉言**谢绝了邀请。 → Он **тактично** отказался от приглашения.
苛求,kē qiú,**苛求** 不要**苛求**别人。 → Не **требуй слишком многого** от других.
苛责,kē zé,**苛责** 父母不应该**苛责**孩子。 → Родители не должны **строго упрекать** детей.
嘹亮,liáo liàng,**嘹亮** 他的歌声**嘹亮**。 → Его пение **звучное**.
婀娜,ē nuó,**婀娜** 她舞姿**婀娜**多姿。 → Её танец **грациозен**.
妩媚,wǔ mèi,**妩媚** 她笑得很**妩媚**。 → Её улыбка **очаровательна**.
旖旎,yǐ nǐ,**旖旎** 风光**旖旎**。 → Пейзаж **прекрасный**.
婉约,wǎn yuē,**婉约** 她的诗风**婉约**。 → Её поэтический стиль **изящный**.
黯然,àn rán,**黯然** 他**黯然**离去。 → Он **уныло** ушёл.
凄凉,qī liáng,**凄凉** 秋天的景色很**凄凉**。 → Осенний пейзаж очень **унылый**.
萧条,xiāo tiáo,**萧条** 经济陷入**萧条**。 → Экономика впала в **депрессию**.
繁华,fán huá,**繁华** 这是**繁华**的商业区。 → Это **оживлённый** торговый район.
昌盛,chāng shèng,"**昌盛** 国家**昌盛**民富。 → Страна **процветает**, народ богат."
兴旺,xīng wàng,**兴旺** 生意**兴旺**发达。 → Бизнес **процветает**.
辉煌,huī huáng,**辉煌** 这是**辉煌**的成就。 → Это **блестящее** достижение.
灿烂,càn làn,**灿烂** 阳光**灿烂**。 → Солнце **сияет ярко**.
潇洒,xiāo sǎ,**潇洒** 他举止**潇洒**。 → Его манеры **элегантны**.
端庄,duān zhuāng,**端庄** 她举止**端庄**。 → Её манеры **благородны**.
朴素,pǔ sù,**朴素** 他穿着**朴素**。 → Он одевается **просто**.
质朴,zhì pǔ,**质朴** 农民的生活很**质朴**。 → Жизнь крестьян **простая и честная**.
高雅,gāo yǎ,**高雅** 她有**高雅**的品味。 → У неё **изысканный** вкус.
庸俗,yōng sú,**庸俗** 那个笑话很**庸俗**。 → Эта шутка очень **вульгарная**.
卑鄙,bēi bǐ,**卑鄙** 这种行为很**卑鄙**。 → Такое поведение очень **подлое**.
高尚,gāo shàng,**高尚** 他品德**高尚**。 → У него **благородный** характер.
崇高,chóng gāo,**崇高** 这是**崇高**的理想。 → Это **возвышенный** идеал.
卓越,zhuó yuè,**卓越** 他有**卓越**的才能。 → У него **выдающийся** талант.
非凡,fēi fán,**非凡** 这是**非凡**的成就。 → Это **необыкновенное** достижение.
杰出,jié chū,**杰出** 他是**杰出**的科学家。 → Он **выдающийся** учёный.
显赫,xiǎn hè,**显赫** 他家世**显赫**。 → У него **знатное** происхождение.
谦逊,qiān xùn,**谦逊** 他为人**谦逊**。 → Он по характеру **скромный**.
傲慢,ào màn,**傲慢** 他态度**傲慢**。 → У него **высокомерное** отношение.
狂妄,kuáng wàng,**狂妄** 他太**狂妄**了。 → Он слишком **самонадеян**.
温顺,wēn shùn,**温顺** 这只狗很**温顺**。 → Эта собака очень **послушная**.
刚毅,gāng yì,**刚毅** 他性格**刚毅**。 → У него **твёрдый** характер.
顽强,wán qiáng,**顽强** 他**顽强**地坚持着。 → Он **упорно** держится.
坚毅,jiān yì,**坚毅** 他眼神**坚毅**。 → Его взгляд **решительный**.
软弱,ruǎn ruò,**软弱** 他性格**软弱**。 → У него **слабый** характер.
怯懦,qiè nuò,**怯懦** 不要**怯懦**。 → Не будь **трусливым**.
勇猛,yǒng měng,**勇猛** 战士**勇猛**杀敌。 → Воины **отважно** сражались с врагом.
英勇,yīng yǒng,**英勇** 他**英勇**奋战。 → Он **доблестно** сражался.
畏惧,wèi jù,**畏惧** 不要**畏惧**困难。 → Не **бойся** трудностей.
胆怯,dǎn qiè,**胆怯** 他显得很**胆怯**。 → Он кажется **робким**.
镇定,zhèn dìng,**镇定** 他面对危险很**镇定**。 → Он перед опасностью **хладнокровный**.
慌乱,huāng luàn,**慌乱** 大家**慌乱**地逃跑。 → Все **в панике** разбежались.
惊慌,jīng huāng,**惊慌** 不要**惊慌**。 → Не **паникуй**.
泰然,tài rán,**泰然** 他**泰然**处之。 → Он **спокойно** к этому относится.
从容,cóng róng,**从容** 他**从容**应对。 → Он **спокойно** реагирует.
匆忙,cōng máng,**匆忙** 他**匆忙**离开了。 → Он **поспешно** ушёл.
仓促,cāng cù,**仓促** 决定太**仓促**了。 → Решение слишком **поспешное**.
迟缓,chí huǎn,**迟缓** 他动作**迟缓**。 → Его движения **медлительные**.
敏捷,mǐn jié,**敏捷** 他思维**敏捷**。 → У него **быстрое** мышление.
机灵,jī ling,**机灵** 这孩子很**机灵**。 → Этот ребёнок очень **сообразительный**.
愚笨,yú bèn,**愚笨** 不要做**愚笨**的事。 → Не делай **глупых** вещей.
聪慧,cōng huì,**聪慧** 她**聪慧**过人。 → Она **умна** не по годам.
睿智,ruì zhì,**睿智** 老人**睿智**。 → Старец **мудр**.
英明,yīng míng,**英明** 这是**英明**的决策。 → Это **мудрое** решение.
昏庸,hūn yōng,**昏庸** 那个皇帝很**昏庸**。 → Тот император был **бездарным**.
渺小,miǎo xiǎo,**渺小** 人在宇宙中很**渺小**。 → Человек во Вселенной **крошечен**.
庞大,páng dà,**庞大** 这是**庞大**的工程。 → Это **огромный** проект.
微弱,wēi ruò,**微弱** 灯光**微弱**。 → Свет **слабый**.
强烈,qiáng liè,**强烈** 我**强烈**反对。 → Я **решительно** против.
猛烈,měng liè,**猛烈** 风**猛烈**地吹。 → Ветер дует **яростно**.
激烈,jī liè,**激烈** 比赛**激烈**。 → Соревнование **напряжённое**.
温和,wēn hé,**温和** 他态度**温和**。 → У него **мягкое** отношение.
和蔼,hé ǎi,**和蔼** 他**和蔼**可亲。 → Он **доброжелательный**.
慈祥,cí xiáng,**慈祥** 奶奶很**慈祥**。 → Бабушка очень **добрая**.
凶猛,xiōng měng,**凶猛** 老虎很**凶猛**。 → Тигр очень **свирепый**.
仁慈,rén cí,**仁慈** 他心地**仁慈**。 → У него **милосердное** сердце.
残忍,cán rěn,**残忍** 这种做法很**残忍**。 → Такой поступок очень **жестокий**.
冷酷,lěng kù,**冷酷** 他**冷酷**无情。 → Он **холоден и беспощаден**.
冷漠,lěng mò,**冷漠** 他对此**冷漠**。 → Он к этому **равнодушен**.
热忱,rè chén,**热忱** 他充满**热忱**。 → Он полон **энтузиазма**.
赤诚,chì chéng,**赤诚** 他**赤诚**待人。 → Он относится к людям **искренне**.
虚伪,xū wěi,**虚伪** 他很**虚伪**。 → Он очень **лицемерный**.
诚挚,chéng zhì,**诚挚** **诚挚**的祝福。 → **Искренние** пожелания.
真挚,zhēn zhì,**真挚** 这是**真挚**的友谊。 → Это **искренняя** дружба.
忠诚,zhōng chéng,**忠诚** 他对国家**忠诚**。 → Он **верен** стране.
背叛,bèi pàn,**背叛** 他**背叛**了朋友。 → Он **предал** друга.
叛变,pàn biàn,**叛变** 他**叛变**了。 → Он **переметнулся**.
忠厚,zhōng hòu,**忠厚** 他为人**忠厚**。 → Он по натуре **честный**.
诡计,guǐ jì,**诡计** 他玩弄**诡计**。 → Он плетёт **интриги**.
阴谋,yīn móu,**阴谋** 他们密谋**阴谋**。 → Они замышляют **заговор**.
策划,cè huà,**策划** 他**策划**了这次活动。 → Он **спланировал** это мероприятие.
部署,bù shǔ,**部署** 军队进行了**部署**。 → Армия провела **развёртывание**.
调遣,diào qiǎn,**调遣** 司令**调遣**部队。 → Командующий **передислоцирует** войска.
派遣,pài qiǎn,**派遣** 公司**派遣**他出差。 → Компания **отправила** его в командировку.
驱逐,qū zhú,**驱逐** 他被**驱逐**出境。 → Его **выслали** из страны.
驱使,qū shǐ,**驱使** 是好奇心**驱使**他来的。 → Его **движет** любопытством.
颁布,bān bù,**颁布** 政府**颁布**了新法律。 → Правительство **обнародовало** новый закон.
颁发,bān fā,**颁发** 学校**颁发**奖学金。 → Школа **присуждает** стипендию.
推行,tuī xíng,**推行** 政府**推行**新政策。 → Правительство **проводит** новую политику.
推广,tuī guǎng,**推广** 这项技术正在**推广**。 → Эта технология **внедряется**.
普及,pǔ jí,**普及** 互联网已经**普及**。 → Интернет уже **повсеместно распространён**.
宣扬,xuān yáng,**宣扬** 他**宣扬**自由思想。 → Он **пропагандирует** свободомыслие.
宣告,xuān gào,**宣告** 战争**宣告**结束。 → Война **объявлена** оконченной.
公布,gōng bù,**公布** 结果已经**公布**。 → Результаты уже **опубликованы**.
披露,pī lù,**披露** 媒体**披露**了真相。 → СМИ **раскрыли** правду.
泄露,xiè lòu,**泄露** 他**泄露**了秘密。 → Он **разгласил** секрет.
炫耀,xuàn yào,**炫耀** 他喜欢**炫耀**财富。 → Он любит **хвастаться** богатством.
吹嘘,chuī xū,**吹嘘** 他爱**吹嘘**自己。 → Он любит **хвастаться** собой.
赞叹,zàn tàn,**赞叹** 大家**赞叹**他的才华。 → Все **восхищаются** его талантом.
讥讽,jī fěng,**讥讽** 不要**讥讽**别人。 → Не **высмеивай** других.
讽刺,fěng cì,**讽刺** 他的话很**讽刺**。 → Его слова очень **саркастичны**.
诋毁,dǐ huǐ,**诋毁** 他**诋毁**了对手。 → Он **очернил** соперника.
诽谤,fěi bàng,**诽谤** 这是**诽谤**行为。 → Это **клевета**.
辱骂,rǔ mà,**辱骂** 他**辱骂**了同事。 → Он **оскорбил** коллегу.
谴责,qiǎn zé,**谴责** 国际社会**谴责**这种行为。 → Международное сообщество **осуждает** это поведение.
责怪,zé guài,**责怪** 不要**责怪**他。 → Не **обвиняй** его.
埋怨,mán yuàn,**埋怨** 她总是**埋怨**生活。 → Она всегда **жалуется** на жизнь.
猜疑,cāi yí,**猜疑** 不要**猜疑**朋友。 → Не **подозревай** друзей.
猜忌,cāi jì,**猜忌** 他对人多**猜忌**。 → Он **подозрителен** к людям.
嫉妒,jí dù,**嫉妒** 不要**嫉妒**别人。 → Не **завидуй** другим.
仰慕,yǎng mù,**仰慕** 他很**仰慕**这位老师。 → Он очень **восхищается** этим учителем.
崇拜,chóng bài,**崇拜** 孩子们**崇拜**英雄。 → Дети **поклоняются** героям.
鄙视,bǐ shì,**鄙视** 他**鄙视**懒惰的人。 → Он **презирает** ленивых людей.
蔑视,miè shì,**蔑视** 他**蔑视**权威。 → Он **пренебрегает** авторитетом.
推崇,tuī chóng,**推崇** 大家都**推崇**他。 → Все его **высоко ценят**.
拥护,yōng hù,**拥护** 人民**拥护**新政策。 → Народ **поддерживает** новую политику.
抵制,dǐ zhì,**抵制** 我们应**抵制**假货。 → Мы должны **бойкотировать** подделки.
抵抗,dǐ kàng,**抵抗** 他们**抵抗**到底。 → Они **сопротивлялись** до конца.
反抗,fǎn kàng,**反抗** 人民开始**反抗**。 → Народ начал **сопротивляться**.
压迫,yā pò,**压迫** 反对一切**压迫**。 → Против всякого **угнетения**.
镇压,zhèn yā,**镇压** 起义被**镇压**了。 → Восстание **подавлено**.
压制,yā zhì,**压制** 不能**压制**不同声音。 → Нельзя **подавлять** инакомыслие.
约束,yuē shù,**约束** 法律**约束**着我们。 → Закон **сковывает** нас.
束缚,shù fù,**束缚** 他想摆脱**束缚**。 → Он хочет избавиться от **оков**.
摆脱,bǎi tuō,**摆脱** 他**摆脱**了困境。 → Он **избавился** от трудностей.
豁免,huò miǎn,**豁免** 他享有外交**豁免**。 → Он пользуется дипломатическим **иммунитетом**.
赦免,shè miǎn,**赦免** 总统**赦免**了他。 → Президент **помиловал** его.
惩罚,chéng fá,**惩罚** 他受到了**惩罚**。 → Он подвергся **наказанию**.
审判,shěn pàn,**审判** 法庭**审判**他。 → Суд **судит** его.
审讯,shěn xùn,**审讯** 警察**审讯**了嫌犯。 → Полиция **допрашивала** подозреваемого.
盘问,pán wèn,**盘问** 警察**盘问**了他。 → Полицейский **допрашивал** его.
诬陷,wū xiàn,**诬陷** 他被**诬陷**了。 → Его **оклеветали**.
冤枉,yuān wang,**冤枉** 我是**冤枉**的。 → Меня **несправедливо обвинили**.
平反,píng fǎn,**平反** 案件得到了**平反**。 → Дело было **реабилитировано**.
启示,qǐ shì,**启示** 这给我们**启示**。 → Это даёт нам **наставление**.
启发,qǐ fā,**启发** 老师**启发**学生思考。 → Учитель **побуждает** учеников думать.
警示,jǐng shì,**警示** 这是**警示**信号。 → Это **предупреждающий** сигнал.
告诫,gào jiè,**告诫** 父母**告诫**孩子。 → Родители **увещевают** детей.
忠告,zhōng gào,**忠告** 听听**忠告**吧。 → Послушай **искренний совет**.
劝阻,quàn zǔ,**劝阻** 我**劝阻**了他。 → Я **отговорил** его.
诱惑,yòu huò,**诱惑** 不要受**诱惑**。 → Не поддавайся **искушению**.
引诱,yǐn yòu,**引诱** 他**引诱**别人犯罪。 → Он **соблазняет** других на преступление.
怂恿,sǒng yǒng,**怂恿** 他**怂恿**朋友。 → Он **подстрекает** друга.
煽动,shān dòng,**煽动** 他**煽动**群众。 → Он **подстрекает** толпу.
鼓舞,gǔ wǔ,**鼓舞** 这个消息**鼓舞**人心。 → Эта новость **воодушевляет**.
激励,jī lì,**激励** 老师**激励**学生。 → Учитель **вдохновляет** учеников.
振奋,zhèn fèn,**振奋** 大家精神**振奋**。 → Все **воодушевлены**.
振作,zhèn zuò,"**振作** 请**振作**起来。 → Пожалуйста, **приободрись**."
沮丧,jǔ sàng,**沮丧** 他很**沮丧**。 → Он очень **подавлен**.
气馁,qì něi,**气馁** 不要**气馁**。 → Не **падай духом**.
振兴,zhèn xīng,**振兴** **振兴**民族经济。 → **Возрождать** национальную экономику.
复兴,fù xīng,**复兴** 文化**复兴**。 → Культурное **возрождение**.
崛起,jué qǐ,**崛起** 中国**崛起**了。 → Китай **поднялся**.
衰落,shuāi luò,**衰落** 帝国**衰落**了。 → Империя **пришла в упадок**.
衰退,shuāi tuì,**衰退** 经济**衰退**。 → Экономический **спад**.
绵延,mián yán,**绵延** 山脉**绵延**千里。 → Горный хребет **тянется** на тысячи ли.
延续,yán xù,**延续** 传统**延续**至今。 → Традиция **продолжается** до сих пор.
传承,chuán chéng,**传承** **传承**文化遗产。 → **Передавать** культурное наследие.
弘扬,hóng yáng,**弘扬** **弘扬**传统美德。 → **Прославлять** традиционные добродетели.
追溯,zhuī sù,**追溯** **追溯**到古代。 → **Восходит** к древности.
源远流长,yuán yuǎn liú cháng,**源远流长** 中华文化**源远流长**。 → Китайская культура имеет **глубокие исторические корни**.
博大精深,bó dà jīng shēn,**博大精深** 中医**博大精深**。 → Китайская медицина **обширна и глубока**.
登峰造极,dēng fēng zào jí,**登峰造极** 他的技艺**登峰造极**。 → Его мастерство **достигло вершины**.
炉火纯青,lú huǒ chún qīng,**炉火纯青** 他的功夫**炉火纯青**。 → Его кунг-фу **достигло совершенства**.
出类拔萃,chū lèi bá cuì,**出类拔萃** 他在班里**出类拔萃**。 → В классе он **выделяется среди всех**.
鹤立鸡群,hè lì jī qún,**鹤立鸡群** 他**鹤立鸡群**。 → Он **выделяется как журавль среди кур**.
另辟蹊径,lìng pì xī jìng,**另辟蹊径** 他**另辟蹊径**取得成功。 → Он **проложил свой путь** и добился успеха.
推陈出新,tuī chén chū xīn,**推陈出新** 我们要**推陈出新**。 → Мы должны **обновлять старое и создавать новое**.
脱颖而出,tuō yǐng ér chū,**脱颖而出** 他在比赛中**脱颖而出**。 → Он **выделился** на соревновании.
独树一帜,dú shù yī zhì,**独树一帜** 他的风格**独树一帜**。 → Его стиль **уникален**.
别具一格,bié jù yī gé,**别具一格** 这幅画**别具一格**。 → Эта картина **в особом стиле**.
独具匠心,dú jù jiàng xīn,**独具匠心** 设计**独具匠心**。 → Дизайн **искусно продуман**.
精雕细琢,jīng diāo xì zhuó,**精雕细琢** 作品经过**精雕细琢**。 → Произведение **тщательно отшлифовано**.
一丝不苟,yī sī bù gǒu,**一丝不苟** 他工作**一丝不苟**。 → Он работает **педантично**.
兢兢业业,jīng jīng yè yè,**兢兢业业** 他**兢兢业业**地工作。 → Он работает **усердно и добросовестно**.
任劳任怨,rèn láo rèn yuàn,**任劳任怨** 他**任劳任怨**。 → Он **безропотно трудится**.
废寝忘食,fèi qǐn wàng shí,**废寝忘食** 他**废寝忘食**地学习。 → Он учится **забывая о сне и еде**.
夜以继日,yè yǐ jì rì,**夜以继日** 他**夜以继日**地工作。 → Он работает **день и ночь**.
争分夺秒,zhēng fēn duó miǎo,**争分夺秒** 他**争分夺秒**地复习。 → Он **дорожит каждой минутой** при подготовке.
一鼓作气,yī gǔ zuò qì,**一鼓作气** 我们**一鼓作气**完成任务。 → Мы **одним порывом** выполним задание.
势如破竹,shì rú pò zhú,**势如破竹** 军队**势如破竹**。 → Армия **рассекает врага как бамбук**.
所向披靡,suǒ xiàng pī mǐ,**所向披靡** 他**所向披靡**。 → Он **сметает всё на своём пути**.
力挽狂澜,lì wǎn kuáng lán,**力挽狂澜** 他**力挽狂澜**。 → Он **повернул вспять бушующие волны**.
大势所趋,dà shì suǒ qū,**大势所趋** 这是**大势所趋**。 → Это **тенденция эпохи**.
顺其自然,shùn qí zì rán,**顺其自然** **顺其自然**就好。 → **Пусть всё идёт своим чередом**.
随遇而安,suí yù ér ān,"**随遇而安** 他**随遇而安**。 → Он **довольствуется тем, что есть**."
知足常乐,zhī zú cháng lè,**知足常乐** **知足常乐**是智慧。 → **Кто доволен — тот счастлив** — это мудрость.
心安理得,xīn ān lǐ dé,**心安理得** 他做得**心安理得**。 → Он делает с **чистой совестью**.
