word,synonym,explanation
了解,理解,"**了解** (liǎojiě) — знать, быть в курсе; владеть информацией, хорошо знать ситуацию или человека; также «выяснить, разузнать». **理解** (lǐjiě) — понимать суть, смысл, причины; постичь умом, войти в положение другого. Разница: 了解 — про знание фактов («я хорошо его знаю»), 理解 — про осмысление и сопереживание («понимаю, почему он так поступил»). Коллокации: 了解情况、了解中国文化、互相了解; 理解课文的意思、理解父母的苦心、请理解我."
帮助,协助,"**帮助** (bāngzhù) — помогать; универсальное нейтральное слово для любой помощи: делом, советом, деньгами; и глагол, и существительное. **协助** (xiézhù) — содействовать, ассистировать; официально-книжное: помогать в деле, где главную роль играет другой. Разница: 帮助 — общее и разговорное, 协助 — формальное, подчёркивает вспомогательную роль, типично для служебных контекстов. Коллокации: 帮助同学、在朋友的帮助下、帮助解决问题; 协助调查、协助警方、协助经理完成工作."
等待,等候,"**等待** (děngdài) — ждать; книжное, объект часто абстрактный: возможность, ответ, результат, перемены; обычен в письменной речи. **等候** (děnghòu) — ожидать; вежливо-официальное, обычно о конкретном ожидании на месте: человека, транспорт, очередь; типично для объявлений и сферы услуг. Разница: 等待 — шире и абстрактнее, 等候 — конкретное ожидание на месте, формулы вежливости (请在此等候). Коллокации: 等待机会、等待消息、耐心等待; 等候通知、在门口等候、排队等候."
害怕,恐惧,"**害怕** (hàipà) — бояться; обычное разговорное слово для страха любой силы; глагол, легко берёт дополнение: 害怕考试. **恐惧** (kǒngjù) — ужас, глубокий страх; книжное и сильное по степени, чаще существительное или состояние, в психологических и письменных контекстах. Разница: 害怕 — бытовой глагол «бояться», 恐惧 — сильное состояние ужаса в книжном стиле. Коллокации: 害怕黑暗、害怕失败、别害怕; 感到恐惧、克服恐惧、恐惧心理."
快乐,愉快,"**快乐** (kuàilè) — радостный, счастливый; о внутреннем состоянии человека и о жизни в целом; стандартное слово поздравлений. **愉快** (yúkuài) — приятный, доставляющий удовольствие; чаще описывает атмосферу, процесс, опыт: поездку, сотрудничество, разговор. Разница: 快乐 — про эмоцию человека, 愉快 — про приятный характер события или настроения: 祝你旅途愉快 — пожелание приятной поездки. Коллокации: 快乐的孩子、节日快乐、快乐时光; 心情愉快、合作愉快、愉快的旅行."
宁静,安静,"**宁静** (níngjìng) — покой, безмятежность; книжно-поэтичное: о тихой ночи, деревне, озере и о внутреннем спокойствии души; подчёркивает умиротворение. **安静** (ānjìng) — тихий, без шума; нейтрально-разговорное: об обстановке и поведении людей; как просьба «тише!». Разница: 安静 — просто отсутствие шума, 宁静 — возвышенная безмятежность атмосферы или души; о ребёнке скажут 安静, а не 宁静. Коллокации: 宁静的夜晚、宁静的乡村、内心的宁静; 教室很安静、保持安静、安静下来."
喜欢,喜爱,"**喜欢** (xǐhuan) — нравиться, любить; самое употребительное разговорное слово для любых симпатий: люди, вещи, занятия. **喜爱** (xǐ'ài) — любить, питать тёплую привязанность; книжное, чувство глубже и устойчивее; часто в письменной речи и в обороте 深受…的喜爱 («пользоваться любовью кого-либо»). Разница: смысл близок, отличаются регистр и сила: 喜欢 — повседневное, 喜爱 — книжное и более тёплое. Коллокации: 喜欢看电影、喜欢一个人、不喜欢; 喜爱音乐、深受孩子们的喜爱、喜爱大自然."
骄傲,自豪,"**骄傲** (jiāo'ào) — гордый; у слова два значения: отрицательное «заносчивый, зазнавшийся» (虚心使人进步，骄傲使人落后) и положительное «гордиться кем-то/чем-то» (为…骄傲). **自豪** (zìháo) — испытывать заслуженную гордость за достижения, страну, близких; только положительная оценка. Разница: 自豪 — всегда «хорошая» гордость, а у 骄傲 без контекста первым считывается значение «зазнайство». Коллокации: 骄傲自满、取得成绩后他骄傲了、为儿子感到骄傲; 为祖国感到自豪、自豪感、值得自豪."
奇怪,稀奇,"**奇怪** (qíguài) — странный, непонятный; вызывает недоумение, отклоняется от нормы; также глагол «удивляться» (我很奇怪他为什么没来). **稀奇** (xīqí) — редкостный, диковинный; странный потому, что редко встречается; часто в отрицании 不稀奇 «ничего особенного» и в слове 稀奇古怪. Разница: 奇怪 — про непонятность и несоответствие ожиданиям, 稀奇 — про редкость и диковинность. Коллокации: 奇怪的声音、觉得很奇怪、奇怪的是; 稀奇的东西、这有什么稀奇的、稀奇古怪的想法."
突然,忽然,"**突然** (tūrán) — внезапный, неожиданный; и прилагательное, и наречие: бывает сказуемым (这件事很突然), определением (突然事件), сочетается с 很/非常. **忽然** (hūrán) — «вдруг»; только наречие, стоит перед глаголом и не имеет степени — нельзя сказать 很忽然. Разница: грамматическая — 突然 шире (наречие и прилагательное, допускает 很), 忽然 — только наречие «вдруг» перед сказуемым. Коллокации: 突然停电、事情来得很突然、突然袭击; 忽然想起、天忽然下起雨来、他忽然笑了."
