word,pinyin,context
好,hǎo,**好** 今天天气很好。 → Сегодня хорошая погода.
号,hào,**号** 今天几号？ → Какое сегодня число?
喝,hē,**喝** 我喝水。 → Я пью воду.
和,hé,**和** 我和你。 → Я и ты.
很,hěn,**很** 这个菜很好吃。 → Это блюдо очень вкусное.
后面,hòu miàn,**后面** 学校在后面。 → Школа находится сзади.
回,huí,**回** 我回家。 → Я возвращаюсь домой.
会,huì,**会** 我会说汉语。 → Я умею говорить по-китайски.
几,jǐ,**几** 你有几本书？ → Сколько у тебя книг?
家,jiā,**家** 我家很大。 → Мой дом очень большой.
叫,jiào,**叫** 我叫小明。 → Меня зовут Сяомин.
今天,jīn tiān,**今天** 今天是星期一。 → Сегодня понедельник.
九,jiǔ,**九** 我有九本书。 → У меня девять книг.
开,kāi,"**开** 请开门。 → Пожалуйста, открой дверь."
看,kàn,**看** 我看书。 → Я читаю книгу.
看见,kàn jiàn,**看见** 我看见他了。 → Я его увидел.
块,kuài,**块** 这个十块钱。 → Это стоит десять юаней.
来,lái,"**来** 请你来。 → Пожалуйста, приходи."
老师,lǎo shī,**老师** 他是我的老师。 → Он мой учитель.
了,le,**了** 我吃 **了** 饭。 → Я поел.
冷,lěng,**冷** 今天很冷。 → Сегодня очень холодно.
里,lǐ,**里** 书在桌子里。 → Книга в столе.
六,liù,**六** 我有六个苹果。 → У меня шесть яблок.
妈妈,mā ma,**妈妈** 我妈妈很漂亮。 → Моя мама очень красивая.
吗,ma,**吗** 你好 **吗**？ → Как дела?
买,mǎi,**买** 我去买东西。 → Я иду покупать вещи.
猫,māo,**猫** 我有一只猫。 → У меня есть кошка.
没关系,méi guān xi,"**没关系** 对不起。— 没关系。 → Извини. — Ничего страшного."
米饭,mǐ fàn,**米饭** 我喜欢吃米饭。 → Я люблю есть рис.
名字,míng zi,**名字** 你叫什么名字？ → Как тебя зовут?
明天,míng tiān,**明天** 明天见。 → Увидимся завтра.
哪,nǎ,**哪** 你是哪国人？ → Ты из какой страны?
哪儿,nǎr,**哪儿** 你去哪儿？ → Куда ты идёшь?
那,nà,**那** 那是什么？ → Что это там?
呢,ne,"**呢** 我很好，你 **呢**？ → У меня всё хорошо, а у тебя?"
能,néng,**能** 我能帮你。 → Я могу тебе помочь.
你,nǐ,**你** 你好！ → Привет!
你们,nǐ men,**你们** 你们好。 → Здравствуйте.
年,nián,**年** 今年是2026年。 → Этот год — 2026.
女儿,nǚ ér,**女儿** 我有一个女儿。 → У меня есть дочь.
朋友,péng you,**朋友** 他是我的好朋友。 → Он мой хороший друг.
漂亮,piào liang,**漂亮** 她很漂亮。 → Она очень красивая.
苹果,píng guǒ,**苹果** 我喜欢吃苹果。 → Я люблю есть яблоки.
七,qī,**七** 我有七个苹果。 → У меня семь яблок.
前面,qián miàn,**前面** 学校在前面。 → Школа находится впереди.
钱,qián,**钱** 我没有钱。 → У меня нет денег.
请,qǐng,"**请** 请进。 → Пожалуйста, входите."
去,qù,**去** 我去学校。 → Я иду в школу.
热,rè,**热** 今天很热。 → Сегодня очень жарко.
人,rén,**人** 这里人很多。 → Здесь много людей.
认识,rèn shi,**认识** 认识你很高兴。 → Рад с тобой познакомиться.
日,rì,**日** 今天是5月18日。 → Сегодня 18 мая.
三,sān,**三** 我有三本书。 → У меня три книги.
商店,shāng diàn,**商店** 我去商店买东西。 → Я иду в магазин за покупками.
上,shàng,**上** 书在桌子上。 → Книга на столе.
上午,shàng wǔ,**上午** 我上午有课。 → У меня утром занятия.
少,shǎo,**少** 这里人很少。 → Здесь мало людей.
谁,shéi,**谁** 他是谁？ → Кто он?
什么,shén me,**什么** 这是什么？ → Что это?
十,shí,**十** 我有十本书。 → У меня десять книг.
时候,shí hou,**时候** 你什么时候来？ → Когда ты придёшь?
是,shì,**是** 我是学生。 → Я студент.
书,shū,**书** 这是我的书。 → Это моя книга.
水,shuǐ,**水** 我喝水。 → Я пью воду.
水果,shuǐ guǒ,**水果** 我喜欢吃水果。 → Я люблю фрукты.
睡觉,shuì jiào,**睡觉** 我要睡觉了。 → Я ложусь спать.
说话,shuō huà,**说话** 老师在说话。 → Учитель говорит.
四,sì,**四** 我有四本书。 → У меня четыре книги.
岁,suì,**岁** 我二十岁。 → Мне двадцать лет.
他,tā,**他** 他是我的朋友。 → Он мой друг.
他们,tā men,**他们** 他们是学生。 → Они студенты.
她,tā,**她** 她是我的老师。 → Она моя учительница.
太,tài,**太** 这个太贵了。 → Это слишком дорого.
天气,tiān qì,**天气** 今天天气很好。 → Сегодня хорошая погода.
听,tīng,**听** 我听音乐。 → Я слушаю музыку.
同学,tóng xué,**同学** 他是我的同学。 → Он мой одноклассник.
喂,wéi,"**喂** 喂，你好！ → Алло, здравствуйте!"
我,wǒ,**我** 我是学生。 → Я студент.
我们,wǒ men,**我们** 我们是朋友。 → Мы друзья.
五,wǔ,**五** 我有五本书。 → У меня пять книг.
喜欢,xǐ huan,**喜欢** 我喜欢你。 → Ты мне нравишься.
下,xià,**下** 猫在桌子下。 → Кошка под столом.
下午,xià wǔ,**下午** 我下午有课。 → У меня днём занятия.
下雨,xià yǔ,**下雨** 今天下雨。 → Сегодня идёт дождь.
先生,xiān sheng,"**先生** 王先生，你好。 → Здравствуйте, господин Ван."
现在,xiàn zài,**现在** 现在几点？ → Который сейчас час?
想,xiǎng,**想** 我想喝水。 → Я хочу пить.
小,xiǎo,**小** 这个苹果很小。 → Это яблоко маленькое.
小姐,xiǎo jiě,"**小姐** 王小姐，你好。 → Здравствуйте, мисс Ван."
些,xiē,**些** 我买了一些水果。 → Я купил немного фруктов.
写,xiě,**写** 我写汉字。 → Я пишу иероглифы.
谢谢,xiè xie,**谢谢** 谢谢你的帮助。 → Спасибо за твою помощь.
星期,xīng qī,**星期** 今天星期几？ → Какой сегодня день недели?
学生,xué sheng,**学生** 我是学生。 → Я студент.
学习,xué xí,**学习** 我学习汉语。 → Я изучаю китайский.
学校,xué xiào,**学校** 我去学校。 → Я иду в школу.
一,yī,**一** 我有一本书。 → У меня одна книга.
衣服,yī fu,**衣服** 这件衣服很漂亮。 → Эта одежда очень красивая.
医生,yī shēng,**医生** 他是医生。 → Он врач.
医院,yī yuàn,**医院** 我去医院。 → Я иду в больницу.
椅子,yǐ zi,**椅子** 这把椅子很好。 → Этот стул очень хороший.
有,yǒu,**有** 我有一只猫。 → У меня есть кошка.
月,yuè,**月** 现在是五月。 → Сейчас май.
再见,zài jiàn,"**再见** 明天见，再见！ → Увидимся завтра, пока!"
在,zài,**在** 我在家。 → Я дома.
怎么,zěn me,**怎么** 这个怎么读？ → Как это читается?
怎么样,zěn me yàng,**怎么样** 你最近怎么样？ → Как у тебя дела в последнее время?
这,zhè,**这** 这是什么？ → Что это?
中国,zhōng guó,**中国** 我去中国。 → Я еду в Китай.
中午,zhōng wǔ,**中午** 我中午吃饭。 → Я обедаю в полдень.
住,zhù,**住** 我住在北京。 → Я живу в Пекине.
桌子,zhuō zi,**桌子** 书在桌子上。 → Книга на столе.
字,zì,**字** 这个字怎么读？ → Как читается этот иероглиф?
昨天,zuó tiān,**昨天** 昨天我没去。 → Вчера я не пошёл.
坐,zuò,"**坐** 请坐。 → Пожалуйста, садитесь."
