word,pinyin,context
孩子,hái zi,"她有两个 **孩子**。 → У неё двое детей."
害怕,hài pà,"我 **害怕**黑暗。 → Я боюсь темноты."
黑,hēi,"她的头发是 **黑**色的。 → У неё чёрные волосы."
红,hóng,"我喜欢 **红**色。 → Мне нравится красный цвет."
火车站,huǒ chē zhàn,"**火车站**在哪里？ → Где железнодорожный вокзал?"
机场,jī chǎng,"我去 **机场**接朋友。 → Я еду в аэропорт встречать друга."
鸡蛋,jī dàn,"早饭吃了两个 **鸡蛋**。 → На завтрак съел два яйца."
件,jiàn,"我买了一 **件**衣服。 → Я купил один предмет одежды."
教室,jiào shì,"学生们在 **教室**里。 → Ученики в классе."
姐姐,jiě jie,"我 **姐姐**很漂亮。 → Моя старшая сестра очень красивая."
介绍,jiè shào,"让我 **介绍**一下。 → Позвольте представиться."
进,jìn,"请 **进**！ → Пожалуйста, входите!"
近,jìn,"学校离我家很 **近**。 → Школа близко к моему дому."
就,jiù,"他 **就**是我哥哥。 → Это и есть мой старший брат."
觉得,jué de,"我 **觉得**很累。 → Я чувствую сильную усталость."
咖啡,kā fēi,"我喝一杯 **咖啡**。 → Я выпью чашку кофе."
开始,kāi shǐ,"我们 **开始**上课。 → Мы начинаем урок."
考试,kǎo shì,"明天有 **考试**。 → Завтра экзамен."
可能,kě néng,"明天 **可能**下雨。 → Завтра возможно будет дождь."
可以,kě yǐ,"我 **可以**进来吗？ → Можно мне войти?"
课,kè,"今天有三节 **课**。 → Сегодня три урока."
快,kuài,"他跑得很 **快**。 → Он бегает очень быстро."
快乐,kuài lè,"祝你生日 **快乐**！ → С днём рождения!"
累,lèi,"我今天很 **累**。 → Сегодня я очень устал."
离,lí,"商店 **离**这儿不远。 → Магазин недалеко отсюда."
路,lù,"这条 **路**很长。 → Эта дорога длинная."
旅游,lǚ yóu,"我喜欢 **旅游**。 → Я люблю путешествовать."
卖,mài,"他在 **卖**水果。 → Он продаёт фрукты."
慢,màn,"他说话很 **慢**。 → Он говорит медленно."
忙,máng,"今天我很 **忙**。 → Сегодня я очень занят."
每,měi,"**每**天我都跑步。 → Каждый день я бегаю."
妹妹,mèi mei,"我有一个 **妹妹**。 → У меня есть младшая сестра."
门,mén,"请关上 **门**。 → Пожалуйста, закрой дверь."
牛奶,niú nǎi,"我每天喝 **牛奶**。 → Я каждый день пью молоко."
旁边,páng biān,"他坐在我 **旁边**。 → Он сидит рядом со мной."
跑步,pǎo bù,"早上我去 **跑步**。 → Утром я хожу на пробежку."
便宜,pián yi,"这个很 **便宜**。 → Это очень дёшево."
票,piào,"我买了两张 **票**。 → Я купил два билета."
妻子,qī zǐ,"他的 **妻子**是医生。 → Его жена врач."
起床,qǐ chuáng,"我每天七点 **起床**。 → Я каждый день встаю в семь."
千,qiān,"这本书一 **千**块钱。 → Эта книга стоит тысячу юаней."
铅笔,qiān bǐ,"我有一支 **铅笔**。 → У меня есть карандаш."
晴,qíng,"今天天气很 **晴**。 → Сегодня очень ясная погода."
去年,qù nián,"**去年**我去了中国。 → В прошлом году я ездил в Китай."
让,ràng,"妈妈 **让**我去。 → Мама разрешила мне пойти."
日,rì,"今天是五月十 **日**。 → Сегодня десятое мая."
身体,shēn tǐ,"他的 **身体**很好。 → У него очень крепкое здоровье."
生病,shēng bìng,"他 **生病**了。 → Он заболел."
生日,shēng rì,"今天是我的 **生日**。 → Сегодня мой день рождения."
时间,shí jiān,"我没有 **时间**。 → У меня нет времени."
事情,shì qing,"我有重要的 **事情**。 → У меня важное дело."
手表,shǒu biǎo,"这是新 **手表**。 → Это новые наручные часы."
手机,shǒu jī,"我的 **手机**在哪里？ → Где мой телефон?"
说话,shuō huà,"她在 **说话**。 → Она разговаривает."
送,sòng,"我 **送**你回家。 → Я провожу тебя домой."
虽然,suī rán,"**虽然**很累，但是很开心。 → Хотя устал, но очень рад."
它,tā,"**它**是一只猫。 → Это кошка."
踢足球,tī zú qiú,"孩子们在 **踢足球**。 → Дети играют в футбол."
题,tí,"这道 **题**很难。 → Эта задача сложная."
跳舞,tiào wǔ,"她喜欢 **跳舞**。 → Она любит танцевать."
完,wán,"我吃 **完**了饭。 → Я закончил есть."
玩,wán,"孩子在外面 **玩**。 → Ребёнок играет на улице."
晚上,wǎn shang,"**晚上**我看电视。 → Вечером я смотрю телевизор."
往,wǎng,"**往**前走。 → Идти вперёд."
为什么,wèi shén me,"你 **为什么**迟到？ → Почему ты опоздал?"
问,wèn,"我想 **问**你一个问题。 → Я хочу задать тебе вопрос."
问题,wèn tí,"你有 **问题**吗？ → У тебя есть вопрос?"
西瓜,xī guā,"夏天我喜欢吃 **西瓜**。 → Летом я люблю есть арбуз."
希望,xī wàng,"我 **希望**明天晴天。 → Я надеюсь, что завтра будет солнечно."
洗,xǐ,"我去 **洗**手。 → Я иду мыть руки."
向,xiàng,"**向**前看！ → Смотри вперёд!"
笑,xiào,"她在 **笑**。 → Она смеётся."
新,xīn,"我有一本 **新**书。 → У меня есть новая книга."
姓,xìng,"我 **姓**王。 → Моя фамилия Ван."
休息,xiū xi,"我们 **休息**一下。 → Давай отдохнём."
雪,xuě,"今天下 **雪**了。 → Сегодня пошёл снег."
颜色,yán sè,"你喜欢什么 **颜色**？ → Какой цвет тебе нравится?"
眼睛,yǎn jing,"她的 **眼睛**很大。 → У неё большие глаза."
羊肉,yáng ròu,"我喜欢吃 **羊肉**。 → Я люблю баранину."
药,yào,"吃 **药**了吗？ → Ты принял лекарство?"
一起,yì qǐ,"我们 **一起**走吧。 → Пойдём вместе."
一下,yí xià,"等 **一下**！ → Подожди секунду!"
已经,yǐ jīng,"他 **已经**走了。 → Он уже ушёл."
意思,yì si,"这是什么 **意思**？ → Что это значит?"
因为,yīn wèi,"**因为**下雨我没去。 → Я не пошёл, потому что шёл дождь."
阴,yīn,"今天天 **阴**。 → Сегодня пасмурно."
游泳,yóu yǒng,"夏天我去 **游泳**。 → Летом я хожу плавать."
右边,yòu biān,"商店在 **右边**。 → Магазин справа."
鱼,yú,"我喜欢吃 **鱼**。 → Я люблю есть рыбу."
远,yuǎn,"我家很 **远**。 → Мой дом очень далеко."
运动,yùn dòng,"我每天 **运动**。 → Я каждый день занимаюсь спортом."
再,zài,"**再**见！ → До свидания!"
早上,zǎo shang,"**早上**好！ → Доброе утро!"
丈夫,zhàng fu,"她的 **丈夫**是老师。 → Её муж учитель."
找,zhǎo,"我在 **找**我的钥匙。 → Я ищу свои ключи."
真,zhēn,"这是 **真**的吗？ → Это правда?"
正在,zhèng zài,"他 **正在**看书。 → Он сейчас читает книгу."
知道,zhī dào,"我不 **知道**。 → Я не знаю."
准备,zhǔn bèi,"我 **准备**好了。 → Я готов."
走,zǒu,"我们 **走**吧。 → Пойдём."
最,zuì,"她是 **最**漂亮的。 → Она самая красивая."
左边,zuǒ biān,"银行在 **左边**。 → Банк слева."
张,zhāng,"我有一 **张**纸。 → У меня есть лист бумаги."
双,shuāng,"一 **双**鞋。 → Одна пара обуви."
元,yuán,"这本书十 **元**。 → Эта книга десять юаней."
教,jiāo,"老师 **教**我们中文。 → Учитель учит нас китайскому."
公园,gōng yuán,"我们去 **公园**散步。 → Мы идём в парк погулять."
自己,zì jǐ,"我 **自己**去。 → Я пойду сам."
别人,bié rén,"不要管 **别人**。 → Не лезь в чужие дела."
但是,dàn shì,"我喜欢，**但是**很贵。 → Мне нравится, но дорого."
所以,suǒ yǐ,"下雨了，**所以**没去。 → Шёл дождь, поэтому не пошёл."
或者,huò zhě,"咖啡 **或者**茶？ → Кофе или чай?"
如果,rú guǒ,"**如果**下雨，我就不去。 → Если будет дождь, я не пойду."
