word,romanization,context
입구,ipgu,**입구** 지하철 입구가 저기에 있어요. → Вход в метро вон там.
출구,chulgu,**출구** 몇 번 출구로 나가요? → Через какой выход выходить?
여행,yeohaeng,**여행** 다음 달에 제주도로 여행을 가요. → В следующем месяце еду в путешествие на Чеджу.
관광,gwangwang,**관광** 서울에서 하루 동안 관광했어요. → Я осматривал достопримечательности Сеула целый день.
사진,sajin,**사진** 여기에서 사진을 찍어도 돼요? → Здесь можно фотографировать?
관광객,gwangwanggaek,**관광객** 이곳은 관광객이 많아요. → Здесь много туристов.
구경하다,gugyeonghada,**구경하다** 시장을 구경하는 게 재미있어요. → Осматривать рынок интересно.
기념품,ginyeompum,**기념품** 친구에게 줄 기념품을 샀어요. → Я купил сувенир для друга.
식당,sikdang,**식당** 이 근처에 맛있는 식당이 있어요? → Есть ли рядом хороший ресторан?
화장실,hwajangsil,**화장실** 화장실이 어디에 있어요? → Где находится туалет?
돈,don,**돈** 여행할 때 돈을 조심하세요. → Будьте осторожны с деньгами во время путешествия.
환전,hwanjeon,**환전** 공항에서 환전을 했어요. → Я обменял деньги в аэропорту.
안내,annae,**안내** 관광 안내 센터가 어디예요? → Где находится туристический информационный центр?
좌석,jwaseok,"**좌석** 창가 좌석으로 주세요. → Дайте, пожалуйста, место у окна."
환승,hwanseung,**환승** 여기에서 지하철로 환승하세요. → Здесь пересядьте на метро.
요금,yogeum,**요금** 택시 요금이 너무 비싸요. → Плата за такси слишком высокая.
왕복,wangbok,"**왕복** 왕복 표를 두 장 주세요. → Дайте, пожалуйста, два билета туда и обратно."
편도,pyeondo,**편도** 편도 표는 얼마예요? → Сколько стоит билет в одну сторону?
탑승,tapseung,**탑승** 곧 비행기 탑승이 시작됩니다. → Скоро начнётся посадка на самолёт.
세관,segwan,**세관** 공항에서 세관을 통과했어요. → В аэропорту я прошёл таможню.
입국,ipguk,**입국** 입국할 때 여권을 보여 주세요. → При въезде покажите паспорт.
출국,chulguk,**출국** 내일 아침에 출국해요. → Завтра утром я вылетаю из страны.
비자,bija,**비자** 한국 비자를 신청했어요. → Я подал заявление на корейскую визу.
면세점,myeonsejeom,**면세점** 면세점에서 향수를 샀어요. → В магазине беспошлинной торговли я купил духи.
체크아웃,chekeuaut,**체크아웃** 체크아웃은 오전 열한 시예요. → Выезд из отеля в одиннадцать часов утра.
열쇠,yeolsoe,**열쇠** 방 열쇠를 잃어버렸어요. → Я потерял ключ от номера.
수건,sugeon,"**수건** 수건 한 장 더 주세요. → Дайте, пожалуйста, ещё одно полотенце."
엘리베이터,ellibeiteo,**엘리베이터** 엘리베이터를 타고 오 층으로 올라가세요. → Поднимитесь на лифте на пятый этаж.
박물관,bangmulgwan,**박물관** 우리는 박물관을 구경했어요. → Мы осмотрели музей.
궁전,gungjeon,**궁전** 이 궁전은 아주 오래되었어요. → Этот дворец очень старый.
공원,gongwon,**공원** 아침에 공원에서 산책했어요. → Утром я гулял в парке.
바다,bada,**바다** 바다가 정말 아름다워요. → Море действительно красивое.
유명하다,yumyeonghada,**유명하다** 이 도시는 야경으로 유명해요. → Этот город знаменит своим ночным видом.
근처,geuncheo,**근처** 호텔 근처에 편의점이 있어요. → Рядом с отелем есть круглосуточный магазин.
신호등,sinhodeung,**신호등** 신호등이 빨간색이에요. → Светофор горит красным.
건너다,geonneoda,"**건너다** 길을 건널 때 조심하세요. → Будьте осторожны, когда переходите дорогу."
방향,banghyang,**방향** 이 방향이 맞아요? → Это правильное направление?
환율,hwannyul,**환율** 오늘 환율이 어때요? → Какой сегодня курс обмена?
은행,eunhaeng,**은행** 은행에서 돈을 바꿨어요. → Я поменял деньги в банке.
카드,kadeu,**카드** 카드로 계산해도 돼요? → Можно расплатиться картой?
도와주다,dowajuda,"**도와주다** 길을 잃어서 좀 도와주세요. → Я заблудился, помогите мне, пожалуйста."
잃어버리다,ireobeorida,**잃어버리다** 여권을 잃어버렸어요. → Я потерял паспорт.
