word,romanization,context
촉진하다,chokjinhada,**촉진하다** 정부의 지원은 기술 혁신을 촉진했다. → Государственная поддержка стимулировала технологические инновации.
억제하다,eokjehada,**억제하다** 정부는 물가 상승을 억제하려고 노력한다. → Правительство старается сдержать рост цен.
부각되다,bugakdoeda,**부각되다** 최근 환경 문제가 사회적 쟁점으로 부각되었다. → В последнее время экологические проблемы вышли на первый план как общественный вопрос.
타당하다,tadanghada,**타당하다** 그의 비판은 나름대로 타당한 면이 있다. → Его критика по-своему имеет обоснованную сторону.
유의미하다,yuuimihada,**유의미하다** 두 집단 사이에 유의미한 차이가 나타났다. → Между двумя группами обнаружилось значимое различие.
방대하다,bangdaehada,**방대하다** 그는 방대한 자료를 혼자서 정리했다. → Он в одиночку систематизировал обширный материал.
미미하다,mimihada,**미미하다** 그 정책의 효과는 미미한 수준에 그쳤다. → Эффект от этой политики остался на незначительном уровне.
상충하다,sangchunghada,**상충하다** 두 정책은 서로 상충하는 목표를 지닌다. → Эти две политики имеют взаимно противоречащие цели.
부합하다,buhaphada,**부합하다** 그 결과는 우리의 예상과 정확히 부합한다. → Этот результат точно соответствует нашим ожиданиям.
간과하다,gangwahada,**간과하다** 사람들은 사소해 보이는 위험을 간과하곤 한다. → Люди склонны упускать из виду кажущиеся незначительными опасности.
전환,jeonhwan,"**전환** 이제 사고방식의 전환이 필요한 시점이다. → Настал момент, когда необходима смена образа мышления."
맥락,maengnak,**맥락** 그 발언은 전체 맥락 속에서 이해해야 한다. → Это высказывание нужно понимать в общем контексте.
함의,hamui,**함의** 그의 연설에는 정치적 함의가 담겨 있다. → В его речи заложен политический подтекст.
잠재적,jamjaejeok,**잠재적** 이 기술은 잠재적 위험을 안고 있다. → Эта технология несёт потенциальную опасность.
상대적,sangdaejeok,**상대적** 그의 소득은 상대적으로 높은 편이다. → Его доход относительно высок.
절대적,jeoldaejeok,**절대적** 그 이론이 절대적 진리는 아니다. → Эта теория не является абсолютной истиной.
본질,bonjil,**본질** 우리는 문제의 본질을 파악해야 한다. → Мы должны постичь суть проблемы.
기반,giban,**기반** 이 연구는 탄탄한 이론적 기반 위에 서 있다. → Это исследование стоит на прочном теоретическом основании.
토대,todae,**토대** 상호 신뢰는 협력의 토대가 된다. → Взаимное доверие становится фундаментом сотрудничества.
대두되다,daedudoeda,**대두되다** 새로운 사회 문제가 잇따라 대두되고 있다. → Одна за другой возникают новые социальные проблемы.
부재,bujae,**부재** 리더십의 부재가 조직을 위기로 몰았다. → Отсутствие лидерства ввергло организацию в кризис.
여파,yeopa,**여파** 경제 위기의 여파가 아직도 남아 있다. → Последствия экономического кризиса всё ещё сохраняются.
격차,gyeokcha,**격차** 도시와 농촌 사이의 소득 격차가 커지고 있다. → Разрыв в доходах между городом и деревней увеличивается.
편향,pyeonhyang,**편향** 언론의 정치적 편향이 문제가 되고 있다. → Политическая предвзятость СМИ становится проблемой.
모순,mosun,**모순** 그의 주장에는 명백한 모순이 있다. → В его утверждении есть явное противоречие.
논리적,nollijeok,**논리적** 그녀는 논리적으로 자신의 견해를 설명했다. → Она логично объяснила свою точку зрения.
체계적,chegyejeok,**체계적** 우리는 자료를 체계적으로 정리해야 한다. → Мы должны систематически упорядочить материалы.
입증하다,ipjeunghada,**입증하다** 새로운 증거가 그의 무죄를 입증했다. → Новое доказательство подтвердило его невиновность.
